model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1e-05,,0.0001,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0715, 0.0027]","[0.024, 0.0013]","[0.0226, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1514, 0.0057]"
CDE-VAE,100,1e-05,,0.0005,300,0.5,Adam,"[0.0198, 0.0015]","[0.0188, 0.0013]","[0.0183, 0.0011]","[0.0213, 0.0021]","[0.0161, 0.0008]","[0.0496, 0.0022]","[0.0178, 0.0011]","[0.0168, 0.0009]","[0.0166, 0.0008]","[0.0197, 0.0016]","[0.0129, 0.0005]","[0.0183, 0.0016]","[0.0309, 0.0029]","[0.0426, 0.0033]","[0.0561, 0.0037]","[0.0175, 0.0022]","[0.1029, 0.0048]"
CDE-VAE,100,1e-05,,0.001,300,0.5,Adam,"[0.0018, 0.0004]","[0.0019, 0.0004]","[0.0019, 0.0003]","[0.0018, 0.0006]","[0.0021, 0.0002]","[0.0064, 0.0007]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.0019, 0.0002]","[0.0013, 0.0004]","[0.0024, 0.0002]","[0.0022, 0.0005]","[0.0025, 0.0006]","[0.0037, 0.0008]","[0.0049, 0.001]","[0.0011, 0.0005]","[0.0139, 0.0016]"
CDE-VAE,100,0.0001,,0.0001,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1507, 0.0057]"
CDE-VAE,100,0.0001,,0.0005,300,0.5,Adam,"[0.0274, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.0219, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0227, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.0451, 0.0035]","[0.0599, 0.0039]","[0.0754, 0.0043]","[0.0258, 0.0027]","[0.1506, 0.0057]"
CDE-VAE,100,0.0001,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.001,,0.0001,300,0.5,Adam,"[0.0273, 0.0018]","[0.0259, 0.0015]","[0.025, 0.0014]","[0.0293, 0.0025]","[0.0219, 0.0009]","[0.0712, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0254, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,100,0.001,,0.0005,300,0.5,Adam,"[0.0275, 0.0018]","[0.0261, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.0241, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.0462, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1505, 0.0057]"
CDE-VAE,100,0.001,,0.001,300,0.5,Adam,"[0.0198, 0.0015]","[0.0195, 0.0013]","[0.0197, 0.0011]","[0.0206, 0.0021]","[0.0197, 0.0008]","[0.0659, 0.0024]","[0.0186, 0.0011]","[0.0192, 0.001]","[0.0204, 0.0009]","[0.0185, 0.0015]","[0.0191, 0.0007]","[0.02, 0.0015]","[0.0337, 0.003]","[0.0515, 0.0036]","[0.0717, 0.0042]","[0.0164, 0.002]","[0.15, 0.0057]"
CDE-VAE,100,0.01,,0.0001,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
