model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1e-05,,0.0001,300,0.4,Adam,"[0.0273, 0.0018]","[0.0259, 0.0015]","[0.025, 0.0014]","[0.0293, 0.0025]","[0.0219, 0.0009]","[0.0712, 0.0027]","[0.024, 0.0013]","[0.0227, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0254, 0.0019]","[0.045, 0.0035]","[0.0602, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,100,1e-05,,0.0005,300,0.4,Adam,"[0.0072, 0.001]","[0.0061, 0.0008]","[0.0053, 0.0007]","[0.009, 0.0015]","[0.004, 0.0004]","[0.0136, 0.0014]","[0.0047, 0.0006]","[0.0035, 0.0004]","[0.0031, 0.0003]","[0.0063, 0.0009]","[0.0031, 0.0002]","[0.0053, 0.001]","[0.0074, 0.0013]","[0.0083, 0.0015]","[0.0096, 0.0016]","[0.0052, 0.0012]","[0.0271, 0.0027]"
CDE-VAE,100,1e-05,,0.001,300,0.4,Adam,"[0.0045, 0.0007]","[0.0044, 0.0006]","[0.0042, 0.0005]","[0.0044, 0.0008]","[0.0034, 0.0003]","[0.0085, 0.0008]","[0.0044, 0.0005]","[0.0038, 0.0004]","[0.0034, 0.0003]","[0.0056, 0.0008]","[0.0026, 0.0002]","[0.0035, 0.0005]","[0.0047, 0.0009]","[0.0066, 0.0011]","[0.0087, 0.0013]","[0.0027, 0.0006]","[0.0177, 0.0019]"
CDE-VAE,100,0.0001,,0.0001,300,0.4,Adam,"[0.0273, 0.0018]","[0.0259, 0.0015]","[0.025, 0.0014]","[0.0293, 0.0025]","[0.0219, 0.0009]","[0.0712, 0.0027]","[0.0241, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0254, 0.0019]","[0.0453, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1507, 0.0057]"
CDE-VAE,100,0.0001,,0.0005,300,0.4,Adam,"[0.0177, 0.0015]","[0.018, 0.0013]","[0.0182, 0.0012]","[0.0171, 0.0018]","[0.0171, 0.0008]","[0.0465, 0.0018]","[0.0188, 0.0012]","[0.0186, 0.0011]","[0.0184, 0.0009]","[0.0179, 0.0016]","[0.015, 0.0006]","[0.0152, 0.001]","[0.0229, 0.0022]","[0.0366, 0.0028]","[0.0506, 0.0033]","[0.0087, 0.0012]","[0.104, 0.0046]"
CDE-VAE,100,0.0001,,0.001,300,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.001,,0.0001,300,0.4,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.0241, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.0453, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,100,0.001,,0.0005,300,0.4,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.0219, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0226, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.0459, 0.0035]","[0.0599, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1506, 0.0057]"
CDE-VAE,100,0.001,,0.001,300,0.4,Adam,"[0.0256, 0.0017]","[0.0246, 0.0014]","[0.0239, 0.0013]","[0.0272, 0.0023]","[0.0215, 0.0009]","[0.0711, 0.0027]","[0.0235, 0.0013]","[0.0224, 0.0011]","[0.0213, 0.001]","[0.0244, 0.0017]","[0.0188, 0.0007]","[0.0248, 0.0019]","[0.0454, 0.0035]","[0.0613, 0.004]","[0.0741, 0.0043]","[0.0237, 0.0025]","[0.1524, 0.0057]"
CDE-VAE,100,0.01,,0.0001,300,0.4,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
