model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,0.1,,0.0001,300,0.3,Adam,"[0.0368, 0.0021]","[0.0351, 0.0018]","[0.034, 0.0016]","[0.0392, 0.0028]","[0.0294, 0.0011]","[0.0915, 0.003]","[0.0332, 0.0016]","[0.0312, 0.0013]","[0.03, 0.0012]","[0.0371, 0.0022]","[0.0236, 0.0008]","[0.0336, 0.0022]","[0.0595, 0.0039]","[0.0818, 0.0044]","[0.101, 0.0048]","[0.0356, 0.0031]","[0.1889, 0.0062]"
CDE-VAE,100,0.1,,0.0005,300,0.3,Adam,"[0.0397, 0.0022]","[0.0377, 0.0019]","[0.0363, 0.0017]","[0.0424, 0.003]","[0.0309, 0.0012]","[0.0958, 0.0031]","[0.0354, 0.0016]","[0.033, 0.0014]","[0.0313, 0.0012]","[0.0397, 0.0023]","[0.0244, 0.0009]","[0.0361, 0.0023]","[0.0634, 0.004]","[0.0859, 0.0045]","[0.1066, 0.005]","[0.0371, 0.0032]","[0.1942, 0.0063]"
CDE-VAE,100,0.1,,0.001,300,0.3,Adam,"[0.0391, 0.0022]","[0.0373, 0.0019]","[0.0359, 0.0017]","[0.0416, 0.0029]","[0.0306, 0.0012]","[0.0943, 0.0031]","[0.035, 0.0016]","[0.033, 0.0014]","[0.031, 0.0012]","[0.0393, 0.0023]","[0.0242, 0.0009]","[0.0349, 0.0022]","[0.062, 0.0039]","[0.0854, 0.0045]","[0.1051, 0.0049]","[0.0358, 0.0031]","[0.1922, 0.0063]"
CDE-VAE,100,1.0,,0.0001,300,0.3,Adam,"[0.0279, 0.0019]","[0.0265, 0.0016]","[0.0255, 0.0014]","[0.0302, 0.0025]","[0.0223, 0.001]","[0.0721, 0.0027]","[0.0248, 0.0014]","[0.023, 0.0011]","[0.0218, 0.001]","[0.027, 0.0019]","[0.0188, 0.0007]","[0.0255, 0.0019]","[0.0469, 0.0036]","[0.0624, 0.004]","[0.0761, 0.0043]","[0.0258, 0.0027]","[0.1527, 0.0058]"
CDE-VAE,100,1.0,,0.0005,300,0.3,Adam,"[0.0277, 0.0019]","[0.0264, 0.0016]","[0.0254, 0.0014]","[0.0301, 0.0025]","[0.0223, 0.001]","[0.072, 0.0027]","[0.0248, 0.0014]","[0.0231, 0.0011]","[0.0221, 0.001]","[0.0271, 0.0019]","[0.0188, 0.0007]","[0.0252, 0.0019]","[0.0465, 0.0036]","[0.063, 0.004]","[0.0772, 0.0044]","[0.0261, 0.0027]","[0.1525, 0.0057]"
CDE-VAE,100,1.0,,0.001,300,0.3,Adam,"[0.0276, 0.0019]","[0.0263, 0.0016]","[0.0254, 0.0014]","[0.03, 0.0025]","[0.0223, 0.001]","[0.0716, 0.0027]","[0.0247, 0.0014]","[0.0232, 0.0011]","[0.0223, 0.001]","[0.0272, 0.0019]","[0.0187, 0.0007]","[0.0254, 0.0019]","[0.045, 0.0034]","[0.0631, 0.0041]","[0.0774, 0.0044]","[0.0261, 0.0027]","[0.1513, 0.0057]"
CDE-VAE,100,10.0,,0.0001,300,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1509, 0.0057]"
CDE-VAE,100,10.0,,0.0005,300,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0226, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0754, 0.0043]","[0.0258, 0.0027]","[0.1505, 0.0057]"
CDE-VAE,100,10.0,,0.001,300,0.3,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.0241, 0.0013]","[0.0227, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0185, 0.0007]","[0.0256, 0.0019]","[0.0445, 0.0034]","[0.0602, 0.0039]","[0.0754, 0.0043]","[0.026, 0.0027]","[0.1495, 0.0057]"
CDE-VAE,100,100.0,,0.0001,300,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,100,100.0,,0.0005,300,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.0219, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0226, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0754, 0.0043]","[0.0258, 0.0027]","[0.1505, 0.0057]"
CDE-VAE,100,100.0,,0.001,300,0.3,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0184, 0.0007]","[0.0256, 0.0019]","[0.0444, 0.0034]","[0.0603, 0.0039]","[0.0754, 0.0043]","[0.026, 0.0027]","[0.1498, 0.0057]"
CDE-VAE,100,1000.0,,0.0001,300,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,100,1000.0,,0.0005,300,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0185, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1505, 0.0057]"
CDE-VAE,100,1000.0,,0.001,300,0.3,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0184, 0.0007]","[0.0255, 0.0019]","[0.0445, 0.0034]","[0.0602, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1498, 0.0057]"
CDE-VAE,100,10000.0,,0.0001,300,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,100,10000.0,,0.0005,300,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.0219, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0226, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0754, 0.0043]","[0.0258, 0.0027]","[0.1506, 0.0057]"
CDE-VAE,100,10000.0,,0.001,300,0.3,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0185, 0.0007]","[0.0255, 0.0019]","[0.0445, 0.0034]","[0.0602, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1498, 0.0057]"
