User,Time,Energy
2732,1,39.613317772746086
2732,2,39.6495241522789
2732,3,39.05761057138443
2732,4,39.36529977619648
2732,5,40.54948680102825
2607,1,54.19697843492031
2607,2,52.762354493141174
2607,3,54.43087834119797
2607,4,52.92464356124401
2607,5,54.871109656989574
1653,1,55.36669646948576
1653,2,56.02447663247585
1653,3,56.47736223042011
1653,4,58.77307207882404
1653,5,64.13267724961042
3264,1,67.20208075642586
3264,2,64.45410194993019
3264,3,63.832678101956844
3264,4,63.45115138590336
3264,5,66.66550032794476
4931,1,43.66470855474472
4931,2,43.656024381518364
4931,3,43.70494306087494
4931,4,44.57447849959135
4931,5,46.14966230839491
4859,1,67.17151211202145
4859,2,66.8431231379509
4859,3,65.80118469893932
4859,4,65.85141748189926
4859,5,65.67204760015011
5827,1,63.241092555224895
5827,2,62.94411040842533
5827,3,64.95409069955349
5827,4,64.75190214812756
5827,5,65.49251441657543
1033,1,38.051303058862686
1033,2,40.26775590330362
1033,3,38.59915912896395
1033,4,38.96994340419769
1033,5,38.18256448209286
4373,1,41.43457782268524
4373,2,44.55124092102051
4373,3,45.59042498469353
4373,4,43.114607118070126
4373,5,44.71050348877907
5874,1,63.202589333057404
5874,2,66.78280718624592
5874,3,67.03975027799606
5874,4,64.17123851180077
5874,5,64.4544270336628
5924,1,41.152196392416954
5924,2,41.32008980214596
5924,3,42.44784738123417
5924,4,43.55866549909115
5924,5,47.10088653862476
3468,1,50.89296416938305
3468,2,49.035869270563126
3468,3,50.26442867517471
3468,4,50.33686761558056
3468,5,52.516552589833736
705,1,61.2682228833437
705,2,58.279916271567345
705,3,56.060509607195854
705,4,56.80040222406387
705,5,57.606482334434986
2599,1,27.232762679457664
2599,2,30.748026631772518
2599,3,30.953205160796642
2599,4,31.29771053791046
2599,5,34.67589385807514
2135,1,61.60509353876114
2135,2,61.003670781850815
2135,3,61.119518518447876
2135,4,60.63124480843544
2135,5,59.82637510448694
2222,1,64.50891461223364
2222,2,63.232075080275536
2222,3,63.644789934158325
2222,4,62.8116222769022
2222,5,62.32045505940914
2897,1,45.174294382333755
2897,2,43.250749096274376
2897,3,45.00888856500387
2897,4,48.68781264871359
2897,5,47.675287649035454
1701,1,29.59845082461834
1701,2,31.359981909394264
1701,3,34.76739551872015
1701,4,32.62853216379881
1701,5,32.08088217675686
537,1,55.52523435652256
537,2,55.72483344376087
537,3,57.11161720752716
537,4,61.13484834134579
537,5,57.74096813052893
2893,1,37.06363308429718
2893,2,37.55190014094114
2893,3,38.216000854969025
2893,4,41.80331991612911
2893,5,43.497900292277336
6216,1,40.33284293115139
6216,2,41.49736751616001
6216,3,41.287617817521095
6216,4,37.86885020136833
6216,5,39.31957071274519
6036,1,36.96387059241533
6036,2,37.818405747413635
6036,3,39.733704656362534
6036,4,42.24400207400322
6036,5,43.34541627764702
2163,1,47.049059972167015
2163,2,46.18053703010082
2163,3,46.17235517501831
2163,4,48.74478204548359
2163,5,48.801656410098076
5072,1,66.00341761112213
5072,2,65.51485100388527
5072,3,67.12061309814453
5072,4,68.12632301449776
5072,5,68.5920420885086
4851,1,40.04556678235531
4851,2,40.974233001470566
4851,3,41.54494794458151
4851,4,42.122309140861034
4851,5,41.04631446301937
2046,1,56.72069649398327
2046,2,54.73399133980274
2046,3,53.64149548113346
2046,4,51.18410684168339
2046,5,51.83875694870949
1871,1,48.35739167034626
1871,2,44.76652477681637
1871,3,45.458700224757195
1871,4,50.458558171987534
1871,5,55.11614016443491
2496,1,68.37457670271397
2496,2,70.67930947244167
2496,3,66.92136288434267
2496,4,69.89399950951338
2496,5,69.80044628679752
99,1,42.95218075066805
99,2,42.260527431964874
99,3,40.5871908813715
99,4,42.80076575279236
99,5,44.409935995936394
2008,1,44.372674621641636
2008,2,43.747522950172424
2008,3,45.135738998651505
2008,4,44.45443485677242
2008,5,47.41837660968304
755,1,64.77609433233738
755,2,65.16880549490452
755,3,60.79490953683853
755,4,62.75012944638729
755,5,62.4304052144289
797,1,45.587347969412804
797,2,46.75554220378399
797,3,45.17357783019543
797,4,42.641577526926994
797,5,42.65049497783184
659,1,62.65394161641598
659,2,63.70738057792187
659,3,64.08008010685444
659,4,62.363463029265404
659,5,64.94692651927471
3219,1,39.671605974435806
3219,2,43.31666825711727
3219,3,46.236298352479935
3219,4,48.7569235265255
3219,5,48.1610207259655
423,1,44.94970187544823
423,2,47.840055391192436
423,3,48.419037997722626
423,4,47.93262501060963
423,5,47.05360244214535
3337,1,43.14095067977905
3337,2,42.515483379364014
3337,3,45.58266131579876
3337,4,44.85800847411156
3337,5,45.580465488135815
2745,1,62.378637090325356
2745,2,62.014769822359085
2745,3,60.99530181288719
2745,4,60.16692587733269
2745,5,60.47122551500797
4735,1,46.92131867259741
4735,2,49.480482183396816
4735,3,49.90945364534855
4735,4,49.91036160290241
4735,5,49.49344763159752
544,1,62.62074054032564
544,2,61.20384908467531
544,3,61.539951488375664
544,4,62.09089205414057
544,5,61.6533695012331
714,1,60.1021216660738
714,2,60.426734544336796
714,3,59.646376222372055
714,4,58.499086014926434
714,5,58.772824205458164
2292,1,52.91415712237358
2292,2,54.63473042845726
2292,3,57.0952263623476
2292,4,57.275149680674076
2292,5,58.290398970246315
151,1,60.96291075646877
151,2,60.80130189657211
151,3,58.51114599406719
151,4,57.661028653383255
151,5,59.56865305453539
2723,1,63.150345638394356
2723,2,61.45192876458168
2723,3,60.387472815811634
2723,4,58.46024031937122
2723,5,56.846428237855434
3531,1,64.31674222648144
3531,2,63.03964604437351
3531,3,63.052055180072784
3531,4,63.11749520897865
3531,5,62.12310130894184
2930,1,59.2818653434515
2930,2,58.860349737107754
2930,3,58.86472029983997
2930,4,54.006662741303444
2930,5,54.283736392855644
1207,1,63.276371881365776
1207,2,63.418713465332985
1207,3,61.91403740644455
1207,4,62.03548915684223
1207,5,63.4483805000782
6172,1,63.02262696623802
6172,2,63.71188719570637
6172,3,65.2217842489481
6172,4,64.34910546243191
6172,5,64.93822123110294
802,1,42.36819691956043
802,2,43.42836205661297
802,3,44.758776023983955
802,4,45.46341150999069
802,5,46.0341913998127
2176,1,36.46566430479288
2176,2,37.3548698425293
2176,3,37.34626658260822
2176,4,37.39228431880474
2176,5,39.167554050683975
2176,1,36.46566430479288
2176,2,37.35105215013027
2176,3,39.34892524778843
2176,4,40.625344187021255
2176,5,43.06388898193836
1956,1,35.25971858948469
1956,2,32.47094865143299
1956,3,34.12575825303793
1956,4,38.81040857732296
1956,5,44.13766311109066
6021,1,59.74545142054558
6021,2,58.885405749082565
6021,3,61.58065055310726
6021,4,61.26463559269905
6021,5,60.91378425061703
3622,1,65.3039369136095
3622,2,63.981740429997444
3622,3,64.64651422202587
3622,4,65.00226628780365
3622,5,65.16883859038353
3560,1,54.076360151171684
3560,2,50.82578529417515
3560,3,48.59874567389488
3560,4,51.58998876810074
3560,5,54.21476798504591
756,1,63.548511154949665
756,2,63.837010845541954
756,3,64.62240199744701
756,4,65.11359033733606
756,5,64.27781199663877
4369,1,49.10616935789585
4369,2,51.64329016208649
4369,3,49.08075378835201
4369,4,54.0912032276392
4369,5,51.4906212836504
4484,1,51.08872210979462
4484,2,55.04324249923229
4484,3,57.18745341897011
4484,4,56.98634769022465
4484,5,59.27074679732323
1641,1,49.432538606226444
1641,2,48.93949528038502
1641,3,49.59069712460041
1641,4,44.47389896214008
1641,5,43.550598695874214
3114,1,38.69824655354023
