model,F-MAP@5,F-MAP@10,F-MAP@20
CE-VNCF,0.15666666666666665,0.1008333333333333,0.05673750376730252
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.1166666666666666,0.07083333333333364,0.05233337633298929
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.0478968253968254,-0.05038260350760351
CE-VNCF,0.0,0.0478968253968254,0.03479894589414712
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.005131578947368421
CE-VNCF,0.040000000000000036,0.020000000000000132,0.024545454545454648
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.026666666666666502,0.11162698412698413,0.10344323869285166
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.01,-0.018975533195734442
CE-VNCF,0.0,0.0,0.005131578947368421
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.10000000000000003,0.07428571428571434,0.10617097148637407
CE-VNCF,0.0,0.0,0.00384615384615385
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.19000000000000006,0.1695634920634921,0.15221224230705666
CE-VNCF,0.30000000000000004,0.17361111111111113,0.1045681605975724
CE-VNCF,0.0,0.047896825396825486,0.03792394589414716
CE-VNCF,0.0,0.021111111111111112,0.02301036682615629
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.7033333333333334,-0.4874603174603175,-0.3009278118682143
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.02678571428571419,-0.012375258470459616
CE-VNCF,0.0,0.0,0.006066176470588214
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.04,-0.08456349206349206,-0.054840021090021084
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.1,0.04999999999999999,0.02499999999999997
CE-VNCF,0.15666666666666662,0.10928571428571432,0.06365546218487382
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.010029761904762012
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.016666666666666673,-0.02709322325421397
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.04,-0.06345238095238095,-0.05645263942284068
CE-VNCF,0.0,-0.00999999999999998,-0.02418525918525916
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.02111111111111119,0.029185259185259164
CE-VNCF,0.06000000000000005,0.05111111111111116,0.021572570661192947
CE-VNCF,0.0,0.014166666666666885,0.046394112423524085
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.014917582417582426
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.05000000000000005,0.015000000000000013,0.002954545454545321
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.29999999999999993,0.1388888888888889,0.09703083466241363
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.03361111111111115,0.034495409561199016
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.05000000000000005,0.04749999999999999,-0.006113534083735384
CE-VNCF,-0.09000000000000002,-0.032499999999999966,0.0010588665290677812
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.2566666666666666,0.17178571428571454,0.0858928571428571
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.30000000000000004,-0.1666666666666666,-0.090625
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.04,0.11817460317460317,0.13192935418554613
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.04,0.05095238095238097,0.011771536212325684
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.06456349206349188,0.097728922264526
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,-0.0032189542483660183
CE-VNCF,0.15000000000000002,0.15206349206349196,0.11438789860809978
CE-VNCF,0.0,0.0,0.0065126050420167845
CE-VNCF,0.0,0.0,0.0
