model,F-MAP@5,F-MAP@10,F-MAP@20
CE-VNCF,0.4300000000000001,0.2652777777777777,0.11665652265690972
CE-VNCF,0.040000000000000036,0.0678968253968254,0.0774452579154592
CE-VNCF,0.1,0.09789682539682544,0.04617063492063489
CE-VNCF,0.16666666666666652,0.13123015873015875,0.12825291216351575
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.15666666666666665,-0.095,-0.05790935672514619
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.026666666666666616,0.013333333333333421,0.0066666666666665994
CE-VNCF,0.040000000000000015,0.010000000000000007,0.03816104646986995
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.29999999999999993,0.14682539682539686,0.07341269841269843
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.5566666666666666,0.3428968253968254,0.19507286422727588
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0255292134336252
CE-VNCF,0.0,0.04206349206349207,0.034382279227480425
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.1166666666666666,0.05833333333333335,0.022261904761904816
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.012177287581699364
CE-VNCF,0.20000000000000007,0.18134920634920648,0.09580618212197156
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0025000000000000022
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.2,0.16138888888888892,0.0630456656346749
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.010000000000000007,0.02112970362970368
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.01,0.009545454545454548
CE-VNCF,0.21666666666666656,0.1083333333333334,0.05416666666666664
CE-VNCF,0.0,0.026785714285714284,0.0291700864494982
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.039999999999999925,0.056507936507936514,0.039118867243867365
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.014707602339181338
CE-VNCF,0.0,-0.037896825396825394,0.0019318824020836609
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,-0.0035714285714285726
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.3666666666666666,0.1933333333333333,0.11792794924373873
CE-VNCF,-0.19000000000000009,-0.13595238095238096,-0.08094382225961194
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.2,0.16706349206349205,0.0931488446194329
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.2066666666666667,0.010714285714285676,-0.036516024824848385
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.19666666666666666,-0.1684523809523809,-0.10677109655050834
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.05,0.018452380952380915,-0.012529320095109542
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.2466666666666667,-0.17095238095238088,-0.08189564821143766
CE-VNCF,0.0,0.0,0.018759889920880637
CE-VNCF,0.0,0.0,-0.0079093567251462
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.059999999999999935,0.018888888888888844,-0.0035964912280702093
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.21666666666666667,0.06488095238095233,0.040072055137844564
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.010850533195734431
CE-VNCF,-0.3666666666666666,-0.18333333333333346,-0.10169642857142858
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.1,0.09789682539682547,0.07510123347584646
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.16666666666666669,-0.03543650793650799,-0.061660530946521734
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.040000000000000036,-0.036666666666666736,0.014056260217250928
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.04999999999999999,0.015158730158730371,0.03234854906875029
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.021111111111111112,-0.015101010101010103
CE-VNCF,0.05,0.07956349206349203,0.08168522847121917
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.05,-0.00833333333333336,0.01053002037522163
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0069444444444444345,0.0067964418622313005
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.13333333333333336,0.07666666666666666,0.03833333333333322
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.014285714285714284,-0.007142857142857131
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0025
CE-VNCF,0.30000000000000004,0.15000000000000002,0.1340289212851129
CE-VNCF,0.0,0.0,0.005277777777777937
CE-VNCF,-0.25666666666666665,-0.1927380952380952,-0.08714410589410584
CE-VNCF,0.03999999999999995,0.02250000000000002,-0.042482740857353866
CE-VNCF,0.0,0.011111111111111072,0.026918909264110225
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.15999999999999998,0.04904761904761906,0.04925025847045975
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.014285714285714237,0.021951140105164742
CE-VNCF,0.09999999999999998,0.07666666666666655,0.07667008644949824
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.026666666666666672,0.055515873015873074,0.012216746746545493
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.00999999999999998,-0.017558275058275064
CE-VNCF,0.0,0.04095238095238074,0.03489290014251323
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.06666666666666665,-0.033333333333333326,-0.036115337835539114
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.2566666666666667,0.14500000000000002,0.07500000000000001
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.01,-0.01755827505827507
CE-VNCF,0.040000000000000036,0.0311111111111112,0.03734082803161765
CE-VNCF,0.4066666666666666,0.20333333333333348,0.10416666666666674
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.4566666666666666,0.2717857142857143,0.13589285714285693
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.002777777777777657
CE-VNCF,-0.13999999999999993,-0.13773809523809516,-0.10480761777781887
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.02111111111111108,0.058502508413499466
CE-VNCF,0.0,0.02111111111111111,0.011289271444070216
CE-VNCF,0.0,-0.026785714285714284,0.019415460915073915
CE-VNCF,0.2266666666666667,0.10666666666666667,0.0850641616295641
CE-VNCF,0.0,0.062063492063491925,0.1247895057299081
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.05000000000000005,0.02928571428571441,0.045031377935789714
CE-VNCF,-0.05000000000000005,0.018452380952380942,0.01339285714285715
CE-VNCF,0.0,-0.009841269841269984,0.02050511472531602
CE-VNCF,0.0,0.033611111111111036,0.029363830613830518
CE-VNCF,-0.1,-0.07428571428571433,-0.05919804460245634
CE-VNCF,0.04,0.07456349206349208,0.04374007936507937
CE-VNCF,0.09,0.016944444444444432,0.018110634205835474
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.1666666666666666,0.09333333333333327,0.07497365787806975
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.013975533195734413
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.040000000000000036,0.05095238095238097,0.04757080638659605
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.2,-0.09999999999999998,-0.047500000000000035
CE-VNCF,0.1,0.11456349206349208,0.061827200577200564
CE-VNCF,0.0,0.05456349206349207,0.07850092803653175
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.030952380952380957,0.12057306126965568
CE-VNCF,0.25666666666666665,0.12833333333333333,0.04407862970362966
CE-VNCF,0.0,0.01678571428571429,-0.004165417915417914
CE-VNCF,0.040000000000000036,0.08456349206349201,0.053279870714081135
CE-VNCF,0.05000000000000005,0.07039682539682546,0.06254023754023752
CE-VNCF,-0.3733333333333333,-0.20333333333333334,-0.11168386652906784
