model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,200,0.0001,0.0001,0.0001,1,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.0001,1,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,0.0001,1,,0.0001,600,0.2,Adam,"[0.8657, 0.0044]","[0.8464, 0.0044]","[0.8293, 0.0045]","[0.89, 0.0048]","[0.5864, 0.0027]","[0.8267, 0.0048]","[0.796, 0.005]","[0.7631, 0.0052]","[0.868, 0.0048]","[0.4642, 0.0031]","[0.2798, 0.0027]","[0.3951, 0.0033]","[0.4945, 0.0036]","[0.1512, 0.0018]"
CE-VAE,200,0.0001,0.0001,0.001,0.0001,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,0.0001,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,0.001,1,,0.0001,600,0.2,Adam,"[0.8076, 0.0054]","[0.7991, 0.0051]","[0.7884, 0.005]","[0.8152, 0.0062]","[0.5587, 0.0026]","[0.7936, 0.005]","[0.7733, 0.005]","[0.7437, 0.0051]","[0.8086, 0.0057]","[0.4499, 0.0031]","[0.2654, 0.0026]","[0.3832, 0.0032]","[0.4832, 0.0036]","[0.136, 0.0016]"
CE-VAE,200,0.0001,0.0001,0.001,0.001,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,0.001,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.001,0.01,1,,0.0001,600,0.2,Adam,"[0.7776, 0.0052]","[0.7641, 0.0049]","[0.7512, 0.0048]","[0.796, 0.006]","[0.5327, 0.0026]","[0.75, 0.005]","[0.7279, 0.0049]","[0.7017, 0.0049]","[0.7764, 0.0055]","[0.4238, 0.0029]","[0.2509, 0.0025]","[0.3603, 0.0031]","[0.4558, 0.0035]","[0.1322, 0.0016]"
CE-VAE,200,0.0001,0.0001,0.001,0.01,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
