model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0001,300,0.5,Adam,"[0.8265, 0.005]","[0.8135, 0.0048]","[0.8005, 0.0047]","[0.8416, 0.0056]","[0.5678, 0.0027]","[0.8013, 0.0049]","[0.7787, 0.0049]","[0.7474, 0.0051]","[0.8276, 0.0053]","[0.4541, 0.0031]","[0.2697, 0.0026]","[0.3873, 0.0033]","[0.4861, 0.0036]","[0.1418, 0.0017]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0005,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.001,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0001,300,0.5,Adam,"[0.7541, 0.0055]","[0.7381, 0.0052]","[0.7236, 0.0051]","[0.7743, 0.0064]","[0.5059, 0.0025]","[0.7223, 0.0053]","[0.6953, 0.0051]","[0.6701, 0.0051]","[0.7524, 0.0059]","[0.3993, 0.0027]","[0.2383, 0.0023]","[0.3388, 0.0028]","[0.4288, 0.0031]","[0.1259, 0.0016]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0005,300,0.5,Adam,"[0.8357, 0.0048]","[0.8208, 0.0047]","[0.806, 0.0047]","[0.8519, 0.0054]","[0.5693, 0.0027]","[0.8078, 0.0049]","[0.7801, 0.0049]","[0.7461, 0.0051]","[0.8361, 0.0051]","[0.4538, 0.003]","[0.2724, 0.0026]","[0.3874, 0.0033]","[0.4841, 0.0036]","[0.1444, 0.0017]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.001,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0001,300,0.5,Adam,"[0.6109, 0.0067]","[0.6017, 0.0062]","[0.594, 0.006]","[0.6233, 0.0077]","[0.405, 0.0023]","[0.5916, 0.0061]","[0.5779, 0.0058]","[0.5656, 0.0057]","[0.6108, 0.0069]","[0.3199, 0.0021]","[0.1828, 0.0018]","[0.2655, 0.0021]","[0.343, 0.0023]","[0.0954, 0.0013]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0005,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.001,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.0001,300,0.5,Adam,"[0.535, 0.0069]","[0.5329, 0.0065]","[0.5299, 0.0062]","[0.5369, 0.0081]","[0.3568, 0.0023]","[0.5321, 0.0063]","[0.5255, 0.006]","[0.5187, 0.0059]","[0.5361, 0.0072]","[0.2834, 0.0019]","[0.1571, 0.0015]","[0.2317, 0.0017]","[0.3037, 0.0018]","[0.0794, 0.0011]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.0005,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.001,300,0.5,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.0001,300,0.5,Adam,"[0.4481, 0.0068]","[0.4459, 0.0064]","[0.4468, 0.0062]","[0.459, 0.0079]","[0.3017, 0.0023]","[0.4377, 0.0062]","[0.4443, 0.006]","[0.4533, 0.0059]","[0.4402, 0.007]","[0.2389, 0.0018]","[0.1236, 0.0013]","[0.1881, 0.0015]","[0.2572, 0.0017]","[0.0624, 0.001]"
