User,Time,Energy
2732,1,45.411200396716595
2732,2,46.15348193794489
2732,3,46.474509224295616
2732,4,46.24597689509392
2732,5,46.80495174974203
2607,1,54.70601296424866
2607,2,54.93230202794075
2607,3,54.6488895714283
2607,4,54.27241450548172
2607,5,54.216247513890266
1653,1,54.40630614757538
1653,2,53.97257271409035
1653,3,53.57400560379028
1653,4,54.046541690826416
1653,5,54.92276808619499
3264,1,57.559603571891785
3264,2,56.8159895837307
3264,3,56.70950999855995
3264,4,56.45443095266819
3264,5,56.45750975608826
4931,1,44.59257239103317
4931,2,44.86505237221718
4931,3,44.846144929528236
4931,4,45.013694539666176
4931,5,45.09998278319836
4859,1,70.58968245983124
4859,2,69.54726761579514
4859,3,69.87226381897926
4859,4,71.04180952906609
4859,5,72.16248336434364
5827,1,62.4870825111866
5827,2,60.8457005918026
5827,3,60.83024325966835
5827,4,60.40409138798714
5827,5,60.405374974012375
1033,1,44.234245881438255
1033,2,45.33183956891298
1033,3,45.727239556610584
1033,4,46.58491902798414
1033,5,46.713602758944035
4373,1,43.99761675298214
4373,2,44.54487265646458
4373,3,44.79202239215374
4373,4,45.20214353501797
4373,5,45.08589357882738
5874,1,62.918782979249954
5874,2,62.36904972791672
5874,3,62.55164974927902
5874,4,63.396513760089874
5874,5,63.22925254702568
5924,1,45.0392806828022
5924,2,46.371152110397816
5924,3,47.27428540587425
5924,4,47.260594464838505
5924,5,47.01002944260836
3468,1,45.62965841591358
3468,2,45.99667463451624
3468,3,46.21092431247234
3468,4,46.58179359138012
3468,5,47.23337785899639
705,1,51.73008179664612
705,2,52.204497426748276
705,3,52.204315319657326
705,4,52.889603078365326
705,5,52.95297709107399
2599,1,42.89016530662775
2599,2,44.07209622114897
2599,3,44.675978146493435
2599,4,44.853047542274
2599,5,44.279763624072075
2135,1,58.502290934324265
2135,2,57.6415029168129
2135,3,57.469922944903374
2135,4,57.51474966108799
2135,5,57.53357608616352
2222,1,52.97047033905983
2222,2,52.779140800237656
2222,3,53.52392126619816
2222,4,53.82771287858486
2222,5,53.33847865462303
2897,1,48.96443534642458
2897,2,48.744292572140694
2897,3,49.04079499095678
2897,4,49.21160715818405
2897,5,48.634169578552246
1701,1,43.206335961818695
1701,2,43.989695712924004
1701,3,44.129268914461136
1701,4,44.229567393660545
1701,5,44.33778831362724
537,1,46.49837024509907
537,2,46.6903330385685
537,3,46.421297051012516
537,4,46.50227127969265
537,5,46.515174977481365
2893,1,48.99880713969469
2893,2,48.97641830891371
2893,3,49.74249142408371
2893,4,50.00751334428787
2893,5,49.5000921189785
6216,1,44.19720937311649
6216,2,45.073184452950954
6216,3,45.272773057222366
6216,4,45.29452808201313
6216,5,45.100794211030006
6036,1,44.91458673030138
6036,2,45.559407867491245
6036,3,45.73862489312887
6036,4,45.39422334730625
6036,5,45.85826949030161
2163,1,44.999974578619
2163,2,45.2229373306036
2163,3,45.27574038505554
2163,4,45.97412056475878
2163,5,46.1080150231719
5072,1,71.1954793035984
5072,2,69.43927466869354
5072,3,68.78871983289719
5072,4,68.89947757124901
5072,5,68.90190353989601
4851,1,44.90401293337345
4851,2,45.220006957650185
4851,3,45.44206600636244
4851,4,45.472205229103565
4851,5,45.26344691962004
2046,1,45.61889959126711
2046,2,45.58690179139376
2046,3,45.63337133824825
2046,4,46.296785697340965
2046,5,46.00336666405201
1871,1,45.858079649508
1871,2,46.85735811293125
1871,3,47.40651962161064
1871,4,47.30157874524593
1871,5,46.7384884878993
2496,1,74.7593806385994
2496,2,72.71927201747894
2496,3,72.8637082874775
2496,4,73.27756127715111
2496,5,73.23091492056847
99,1,49.335244849324226
99,2,49.659372225403786
99,3,50.577426224946976
99,4,51.61907139420509
99,5,51.43378388881683
2008,1,44.35426140576601
2008,2,45.1198221296072
2008,3,46.08819477260113
2008,4,46.62887993454933
2008,5,46.82063326239586
755,1,64.13191884756088
755,2,62.41784679889679
755,3,61.230108857154846
755,4,61.497117668390274
755,5,61.737795650959015
797,1,48.22794782370329
797,2,48.415356516838074
797,3,48.53856401145458
797,4,48.69035631418228
797,5,49.4088980704546
659,1,66.31391420960426
659,2,64.9309312403202
659,3,64.5853882431984
659,4,64.86521625518799
659,5,65.14194703102112
3219,1,46.323196053504944
3219,2,47.36656729876995
3219,3,47.8509229272604
3219,4,48.02275948226452
3219,5,47.68120086938143
423,1,47.184777453541756
423,2,47.47911123931408
423,3,47.733946830034256
423,4,47.79740531742573
423,5,48.48571453988552
3337,1,45.07213117927313
3337,2,45.37707907706499
3337,3,45.38444796204567
3337,4,45.298022128641605
3337,5,45.52239187061787
2745,1,49.161748111248016
2745,2,49.29104954004288
2745,3,50.16499078273773
2745,4,51.28129981458187
2745,5,51.597451224923134
4735,1,47.957786068320274
4735,2,48.02716590464115
4735,3,48.096253365278244
4735,4,48.051623709499836
4735,5,47.90822699666023
544,1,59.57197791337967
544,2,58.34698298573494
544,3,57.70352786779404
544,4,58.04536083340645
544,5,58.184023544192314
714,1,55.96350894868374
714,2,54.95991122722626
714,3,55.279272362589836
714,4,55.52229154109955
714,5,55.43523180484772
