model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1e-05,,0.0001,600,0.5,Adam,"[0.0409, 0.0023]","[0.0384, 0.0019]","[0.0365, 0.0017]","[0.0448, 0.003]","[0.0299, 0.0011]","[0.0922, 0.0031]","[0.0351, 0.0016]","[0.0326, 0.0014]","[0.0297, 0.0012]","[0.0406, 0.0023]","[0.0225, 0.0008]","[0.0381, 0.0023]","[0.0598, 0.0038]","[0.0811, 0.0043]","[0.099, 0.0048]","[0.0368, 0.003]","[0.1834, 0.0062]"
CDE-VAE,100,1e-05,,0.0005,600,0.5,Adam,"[0.0296, 0.0019]","[0.0283, 0.0016]","[0.0273, 0.0014]","[0.0312, 0.0025]","[0.0236, 0.001]","[0.0739, 0.0026]","[0.027, 0.0014]","[0.025, 0.0012]","[0.0237, 0.001]","[0.0302, 0.002]","[0.0191, 0.0007]","[0.0264, 0.0018]","[0.0467, 0.0034]","[0.0655, 0.004]","[0.0814, 0.0044]","[0.0262, 0.0026]","[0.1571, 0.0058]"
CDE-VAE,100,1e-05,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.0001,,0.0001,600,0.5,Adam,"[0.0413, 0.0023]","[0.0386, 0.0019]","[0.0365, 0.0017]","[0.0458, 0.0031]","[0.0298, 0.0011]","[0.093, 0.0031]","[0.0351, 0.0016]","[0.0319, 0.0013]","[0.0297, 0.0011]","[0.0402, 0.0023]","[0.0226, 0.0007]","[0.0367, 0.0022]","[0.0604, 0.0038]","[0.0816, 0.0044]","[0.0996, 0.0048]","[0.0356, 0.003]","[0.1855, 0.0062]"
CDE-VAE,100,0.0001,,0.0005,600,0.5,Adam,"[0.024, 0.0017]","[0.0235, 0.0014]","[0.0231, 0.0013]","[0.0244, 0.0022]","[0.0215, 0.0009]","[0.0668, 0.0023]","[0.0231, 0.0013]","[0.0222, 0.0011]","[0.0219, 0.001]","[0.0247, 0.0018]","[0.019, 0.0007]","[0.0214, 0.0014]","[0.0351, 0.0028]","[0.052, 0.0035]","[0.071, 0.0041]","[0.0185, 0.002]","[0.1521, 0.0057]"
CDE-VAE,100,0.0001,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.001,,0.0001,600,0.5,Adam,"[0.0424, 0.0023]","[0.0395, 0.002]","[0.0373, 0.0017]","[0.0466, 0.0031]","[0.0303, 0.0011]","[0.0931, 0.0031]","[0.036, 0.0017]","[0.0323, 0.0013]","[0.0302, 0.0012]","[0.0415, 0.0024]","[0.0226, 0.0008]","[0.0377, 0.0023]","[0.0599, 0.0037]","[0.0809, 0.0043]","[0.1002, 0.0048]","[0.0363, 0.003]","[0.1827, 0.0061]"
CDE-VAE,100,0.001,,0.0005,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.001,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,100,0.01,,0.0001,600,0.5,Adam,"[0.0468, 0.0025]","[0.0436, 0.0021]","[0.0412, 0.0018]","[0.0524, 0.0033]","[0.0336, 0.0012]","[0.1038, 0.0034]","[0.0395, 0.0017]","[0.0357, 0.0014]","[0.0329, 0.0013]","[0.0453, 0.0025]","[0.0252, 0.0008]","[0.043, 0.0026]","[0.0708, 0.0042]","[0.0927, 0.0046]","[0.1133, 0.0051]","[0.0417, 0.0033]","[0.1986, 0.0062]"
