model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,200,0.1,,0.0001,300,0.5,Adam,"[0.0368, 0.0022]","[0.0351, 0.0018]","[0.0339, 0.0016]","[0.0391, 0.0028]","[0.0293, 0.0011]","[0.0909, 0.003]","[0.0331, 0.0016]","[0.0308, 0.0013]","[0.0298, 0.0012]","[0.0374, 0.0023]","[0.0235, 0.0008]","[0.0338, 0.0022]","[0.0587, 0.0038]","[0.0806, 0.0044]","[0.0999, 0.0048]","[0.0349, 0.0031]","[0.187, 0.0062]"
CDE-VAE,200,0.1,,0.0005,300,0.5,Adam,"[0.0393, 0.0022]","[0.0374, 0.0019]","[0.036, 0.0017]","[0.0419, 0.0029]","[0.0308, 0.0012]","[0.0951, 0.0031]","[0.0352, 0.0016]","[0.0327, 0.0014]","[0.0313, 0.0012]","[0.0392, 0.0023]","[0.0244, 0.0009]","[0.0351, 0.0022]","[0.0623, 0.0039]","[0.085, 0.0045]","[0.1052, 0.0049]","[0.037, 0.0032]","[0.1938, 0.0063]"
CDE-VAE,200,0.1,,0.001,300,0.5,Adam,"[0.0387, 0.0022]","[0.0369, 0.0019]","[0.0356, 0.0017]","[0.0409, 0.0029]","[0.0304, 0.0012]","[0.0934, 0.003]","[0.0349, 0.0016]","[0.0327, 0.0014]","[0.0308, 0.0012]","[0.0386, 0.0023]","[0.0241, 0.0008]","[0.0347, 0.0022]","[0.0613, 0.0039]","[0.0849, 0.0045]","[0.1031, 0.0049]","[0.0358, 0.0031]","[0.1914, 0.0063]"
CDE-VAE,200,1.0,,0.0001,300,0.5,Adam,"[0.0279, 0.0019]","[0.0266, 0.0016]","[0.0255, 0.0014]","[0.0302, 0.0025]","[0.0224, 0.001]","[0.0721, 0.0027]","[0.0248, 0.0014]","[0.0231, 0.0011]","[0.0219, 0.001]","[0.0269, 0.0019]","[0.0188, 0.0007]","[0.0257, 0.0019]","[0.047, 0.0036]","[0.0625, 0.004]","[0.0765, 0.0044]","[0.0257, 0.0027]","[0.1523, 0.0057]"
CDE-VAE,200,1.0,,0.0005,300,0.5,Adam,"[0.0278, 0.0019]","[0.0265, 0.0016]","[0.0255, 0.0014]","[0.0303, 0.0025]","[0.0223, 0.001]","[0.072, 0.0027]","[0.0247, 0.0014]","[0.0232, 0.0011]","[0.022, 0.001]","[0.0273, 0.0019]","[0.0188, 0.0007]","[0.0252, 0.0019]","[0.0462, 0.0036]","[0.0638, 0.0041]","[0.0766, 0.0044]","[0.0262, 0.0027]","[0.1519, 0.0057]"
CDE-VAE,200,1.0,,0.001,300,0.5,Adam,"[0.0277, 0.0019]","[0.0264, 0.0016]","[0.0254, 0.0014]","[0.0301, 0.0025]","[0.0223, 0.001]","[0.0716, 0.0027]","[0.0247, 0.0014]","[0.0232, 0.0011]","[0.0224, 0.001]","[0.0273, 0.0019]","[0.0187, 0.0007]","[0.0253, 0.0019]","[0.045, 0.0035]","[0.0637, 0.0041]","[0.0779, 0.0044]","[0.0261, 0.0027]","[0.1512, 0.0057]"
CDE-VAE,200,10.0,,0.0001,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0258, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,200,10.0,,0.0005,300,0.5,Adam,"[0.0274, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.0219, 0.0009]","[0.0712, 0.0027]","[0.0239, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0185, 0.0007]","[0.0257, 0.0019]","[0.0448, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1503, 0.0057]"
CDE-VAE,200,10.0,,0.001,300,0.5,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.025, 0.0014]","[0.0297, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0265, 0.0019]","[0.0185, 0.0007]","[0.0254, 0.0019]","[0.0445, 0.0034]","[0.0603, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1499, 0.0057]"
CDE-VAE,200,100.0,,0.0001,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,200,100.0,,0.0005,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1505, 0.0057]"
CDE-VAE,200,100.0,,0.001,300,0.5,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0185, 0.0007]","[0.0256, 0.0019]","[0.0444, 0.0034]","[0.0603, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1498, 0.0057]"
CDE-VAE,200,1000.0,,0.0001,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,200,1000.0,,0.0005,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1505, 0.0057]"
CDE-VAE,200,1000.0,,0.001,300,0.5,Adam,"[0.0274, 0.0019]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0184, 0.0007]","[0.0255, 0.0019]","[0.0445, 0.0034]","[0.0603, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1498, 0.0057]"
CDE-VAE,200,10000.0,,0.0001,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,200,10000.0,,0.0005,300,0.5,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1505, 0.0057]"
CDE-VAE,200,10000.0,,0.001,300,0.5,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0185, 0.0007]","[0.0255, 0.0019]","[0.0445, 0.0034]","[0.0602, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1499, 0.0057]"
