model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,200,1e-05,,0.0001,600,0.4,Adam,"[0.0587, 0.0028]","[0.0523, 0.0023]","[0.0476, 0.002]","[0.0682, 0.0038]","[0.0338, 0.0013]","[0.1399, 0.0047]","[0.044, 0.0019]","[0.0368, 0.0015]","[0.032, 0.0012]","[0.0579, 0.0029]","[0.0198, 0.0007]","[0.0594, 0.0035]","[0.1263, 0.0058]","[0.1545, 0.0063]","[0.1761, 0.0067]","[0.0861, 0.0048]","[0.2601, 0.0077]"
CDE-VAE,200,1e-05,,0.0005,600,0.4,Adam,"[0.009, 0.0011]","[0.0082, 0.0009]","[0.0077, 0.0008]","[0.0106, 0.0016]","[0.0063, 0.0005]","[0.0265, 0.0019]","[0.0069, 0.0007]","[0.0064, 0.0006]","[0.006, 0.0005]","[0.0088, 0.0011]","[0.0049, 0.0003]","[0.0081, 0.0012]","[0.018, 0.0022]","[0.0244, 0.0025]","[0.0299, 0.0028]","[0.0113, 0.0017]","[0.0587, 0.0039]"
CDE-VAE,200,1e-05,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,200,0.0001,,0.0001,600,0.4,Adam,"[0.0588, 0.0029]","[0.0525, 0.0024]","[0.048, 0.002]","[0.0686, 0.0039]","[0.0339, 0.0013]","[0.1403, 0.0047]","[0.0444, 0.0019]","[0.0373, 0.0015]","[0.0326, 0.0012]","[0.0582, 0.0029]","[0.0199, 0.0007]","[0.0607, 0.0036]","[0.1267, 0.0058]","[0.1562, 0.0064]","[0.1781, 0.0067]","[0.0857, 0.0048]","[0.2604, 0.0077]"
CDE-VAE,200,0.0001,,0.0005,600,0.4,Adam,"[0.0578, 0.0028]","[0.0516, 0.0023]","[0.0471, 0.002]","[0.0673, 0.0038]","[0.0336, 0.0012]","[0.1455, 0.0047]","[0.0439, 0.0019]","[0.0368, 0.0014]","[0.0317, 0.0012]","[0.0566, 0.0028]","[0.0201, 0.0006]","[0.061, 0.0037]","[0.1284, 0.0058]","[0.1586, 0.0064]","[0.1805, 0.0068]","[0.0853, 0.0048]","[0.2829, 0.0079]"
CDE-VAE,200,0.0001,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,200,0.001,,0.0001,600,0.4,Adam,"[0.062, 0.0029]","[0.0553, 0.0024]","[0.0505, 0.0021]","[0.0726, 0.004]","[0.0358, 0.0013]","[0.1483, 0.0048]","[0.0464, 0.0019]","[0.0392, 0.0015]","[0.034, 0.0013]","[0.0612, 0.003]","[0.0211, 0.0007]","[0.064, 0.0037]","[0.1339, 0.0059]","[0.1653, 0.0065]","[0.1872, 0.0069]","[0.0911, 0.005]","[0.2762, 0.0079]"
CDE-VAE,200,0.001,,0.0005,600,0.4,Adam,"[0.0588, 0.0028]","[0.0524, 0.0023]","[0.0479, 0.002]","[0.0687, 0.0039]","[0.0342, 0.0012]","[0.1463, 0.0048]","[0.0442, 0.0019]","[0.0371, 0.0014]","[0.0325, 0.0012]","[0.0587, 0.0029]","[0.0204, 0.0006]","[0.0617, 0.0037]","[0.129, 0.0059]","[0.1587, 0.0065]","[0.1839, 0.0068]","[0.0883, 0.0049]","[0.2821, 0.0079]"
CDE-VAE,200,0.001,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,200,0.01,,0.0001,600,0.4,Adam,"[0.0429, 0.0024]","[0.0393, 0.002]","[0.0367, 0.0018]","[0.0485, 0.0033]","[0.0278, 0.0012]","[0.1147, 0.004]","[0.0348, 0.0017]","[0.0304, 0.0013]","[0.0275, 0.0012]","[0.0428, 0.0025]","[0.0183, 0.0007]","[0.0431, 0.003]","[0.0948, 0.005]","[0.1234, 0.0056]","[0.1466, 0.0061]","[0.0595, 0.004]","[0.2358, 0.0074]"
