model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,200,1e-05,,0.0001,600,0.5,Adam,"[0.0583, 0.0028]","[0.0519, 0.0023]","[0.0474, 0.002]","[0.0679, 0.0038]","[0.0335, 0.0013]","[0.1385, 0.0047]","[0.0436, 0.0019]","[0.0365, 0.0014]","[0.0321, 0.0012]","[0.0578, 0.0029]","[0.0197, 0.0007]","[0.0598, 0.0036]","[0.1244, 0.0058]","[0.1523, 0.0063]","[0.1754, 0.0067]","[0.0849, 0.0048]","[0.2565, 0.0077]"
CDE-VAE,200,1e-05,,0.0005,600,0.5,Adam,"[0.0574, 0.0028]","[0.0512, 0.0023]","[0.0467, 0.002]","[0.0674, 0.0038]","[0.0332, 0.0012]","[0.143, 0.0047]","[0.0433, 0.0018]","[0.036, 0.0014]","[0.0316, 0.0012]","[0.0565, 0.0028]","[0.0197, 0.0006]","[0.0597, 0.0035]","[0.1268, 0.0058]","[0.1571, 0.0064]","[0.1816, 0.0068]","[0.0859, 0.0048]","[0.276, 0.008]"
CDE-VAE,200,1e-05,,0.001,600,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,200,0.0001,,0.0001,600,0.5,Adam,"[0.0593, 0.0029]","[0.0528, 0.0024]","[0.0481, 0.002]","[0.0693, 0.0039]","[0.034, 0.0013]","[0.1405, 0.0047]","[0.0445, 0.0019]","[0.037, 0.0015]","[0.0321, 0.0012]","[0.0587, 0.0029]","[0.02, 0.0007]","[0.061, 0.0036]","[0.1268, 0.0058]","[0.1548, 0.0063]","[0.1757, 0.0067]","[0.0863, 0.0048]","[0.2598, 0.0077]"
CDE-VAE,200,0.0001,,0.0005,600,0.5,Adam,"[0.0571, 0.0028]","[0.0509, 0.0023]","[0.0465, 0.002]","[0.0667, 0.0038]","[0.0332, 0.0012]","[0.1432, 0.0047]","[0.0426, 0.0018]","[0.0359, 0.0014]","[0.0318, 0.0012]","[0.0569, 0.0028]","[0.0199, 0.0006]","[0.0607, 0.0037]","[0.1235, 0.0058]","[0.1544, 0.0064]","[0.1816, 0.0069]","[0.086, 0.0049]","[0.2776, 0.008]"
CDE-VAE,200,0.0001,,0.001,600,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,200,0.001,,0.0001,600,0.5,Adam,"[0.0626, 0.003]","[0.0558, 0.0024]","[0.0509, 0.0021]","[0.0729, 0.004]","[0.0361, 0.0013]","[0.1492, 0.0049]","[0.0472, 0.002]","[0.0395, 0.0015]","[0.0341, 0.0013]","[0.0625, 0.003]","[0.0213, 0.0007]","[0.0645, 0.0037]","[0.1351, 0.006]","[0.165, 0.0065]","[0.1882, 0.0069]","[0.0924, 0.005]","[0.2771, 0.0079]"
CDE-VAE,200,0.001,,0.0005,600,0.5,Adam,"[0.059, 0.0028]","[0.0527, 0.0023]","[0.0481, 0.002]","[0.0688, 0.0039]","[0.0345, 0.0012]","[0.1474, 0.0047]","[0.0445, 0.0018]","[0.0375, 0.0014]","[0.0329, 0.0012]","[0.0592, 0.0029]","[0.0208, 0.0007]","[0.0608, 0.0036]","[0.1291, 0.0059]","[0.1606, 0.0065]","[0.185, 0.0069]","[0.0886, 0.0049]","[0.2867, 0.008]"
CDE-VAE,200,0.001,,0.001,600,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,200,0.01,,0.0001,600,0.5,Adam,"[0.0436, 0.0025]","[0.0399, 0.002]","[0.0371, 0.0018]","[0.0491, 0.0033]","[0.0281, 0.0012]","[0.1173, 0.0041]","[0.0353, 0.0017]","[0.0309, 0.0014]","[0.0277, 0.0012]","[0.0433, 0.0025]","[0.0189, 0.0007]","[0.0441, 0.003]","[0.0962, 0.005]","[0.1254, 0.0057]","[0.1476, 0.0061]","[0.06, 0.004]","[0.2431, 0.0074]"
CDE-VAE,200,0.01,,0.0005,600,0.5,Adam,"[0.0516, 0.0027]","[0.0469, 0.0022]","[0.0433, 0.002]","[0.0584, 0.0036]","[0.032, 0.0013]","[0.1316, 0.0044]","[0.0414, 0.0019]","[0.0352, 0.0015]","[0.031, 0.0012]","[0.0517, 0.0027]","[0.0203, 0.0007]","[0.0518, 0.0033]","[0.1137, 0.0055]","[0.1436, 0.0061]","[0.1676, 0.0065]","[0.0733, 0.0044]","[0.264, 0.0077]"
