model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,200,0.01,,0.0005,600,0.2,Adam,"[0.051, 0.0027]","[0.0464, 0.0022]","[0.0429, 0.0019]","[0.0578, 0.0036]","[0.0317, 0.0012]","[0.1307, 0.0044]","[0.0409, 0.0018]","[0.0351, 0.0015]","[0.0309, 0.0012]","[0.0506, 0.0027]","[0.0201, 0.0007]","[0.0513, 0.0033]","[0.1141, 0.0055]","[0.1434, 0.0061]","[0.1664, 0.0064]","[0.071, 0.0043]","[0.2618, 0.0077]"
CDE-VAE,200,0.01,,0.001,600,0.2,Adam,"[0.0521, 0.0027]","[0.0473, 0.0022]","[0.0436, 0.002]","[0.0597, 0.0036]","[0.0321, 0.0013]","[0.1339, 0.0044]","[0.0416, 0.0019]","[0.0351, 0.0015]","[0.031, 0.0012]","[0.0512, 0.0027]","[0.0203, 0.0007]","[0.0532, 0.0033]","[0.1156, 0.0055]","[0.1439, 0.0061]","[0.1699, 0.0066]","[0.0727, 0.0044]","[0.268, 0.0078]"
CDE-VAE,200,0.1,,0.0001,600,0.2,Adam,"[0.0155, 0.0014]","[0.0143, 0.0012]","[0.0134, 0.0011]","[0.017, 0.0019]","[0.0109, 0.0007]","[0.0454, 0.0024]","[0.0129, 0.001]","[0.0113, 0.0008]","[0.0104, 0.0007]","[0.0164, 0.0015]","[0.0084, 0.0005]","[0.0147, 0.0016]","[0.0323, 0.003]","[0.0425, 0.0034]","[0.0521, 0.0037]","[0.0211, 0.0024]","[0.1036, 0.0052]"
CDE-VAE,200,0.1,,0.0005,600,0.2,Adam,"[0.0164, 0.0015]","[0.0151, 0.0013]","[0.0141, 0.0011]","[0.0183, 0.002]","[0.0115, 0.0007]","[0.0475, 0.0025]","[0.0136, 0.0011]","[0.0117, 0.0008]","[0.011, 0.0007]","[0.0169, 0.0016]","[0.0088, 0.0005]","[0.0155, 0.0016]","[0.034, 0.003]","[0.0432, 0.0034]","[0.0542, 0.0038]","[0.0219, 0.0024]","[0.1071, 0.0052]"
CDE-VAE,200,0.1,,0.001,600,0.2,Adam,"[0.0166, 0.0015]","[0.0152, 0.0013]","[0.0142, 0.0011]","[0.0183, 0.002]","[0.0116, 0.0007]","[0.0479, 0.0025]","[0.0135, 0.0011]","[0.0119, 0.0009]","[0.0111, 0.0007]","[0.0176, 0.0016]","[0.0089, 0.0005]","[0.0156, 0.0017]","[0.0332, 0.003]","[0.0434, 0.0034]","[0.0542, 0.0038]","[0.0229, 0.0025]","[0.1082, 0.0052]"
CDE-VAE,200,1.0,,0.0001,600,0.2,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0064, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0065, 0.0009]","[0.0186, 0.0022]","[0.0272, 0.0027]","[0.0327, 0.003]","[0.0081, 0.0014]","[0.0681, 0.0042]"
CDE-VAE,200,1.0,,0.0005,600,0.2,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.0271, 0.0017]","[0.0076, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0074, 0.001]","[0.0055, 0.0003]","[0.0069, 0.001]","[0.0186, 0.0022]","[0.0272, 0.0027]","[0.0329, 0.003]","[0.0082, 0.0014]","[0.0684, 0.0042]"
CDE-VAE,200,1.0,,0.001,600,0.2,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.0268, 0.0017]","[0.0076, 0.0007]","[0.0073, 0.0006]","[0.0068, 0.0005]","[0.0082, 0.001]","[0.0053, 0.0003]","[0.0066, 0.001]","[0.0182, 0.0022]","[0.0282, 0.0028]","[0.0347, 0.003]","[0.0094, 0.0015]","[0.0672, 0.0042]"
CDE-VAE,200,10.0,,0.0001,600,0.2,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.007, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0262, 0.0027]","[0.0331, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,200,10.0,,0.0005,600,0.2,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.0269, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0069, 0.001]","[0.0181, 0.0022]","[0.0282, 0.0028]","[0.0328, 0.003]","[0.0082, 0.0014]","[0.0674, 0.0042]"
