model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,300,0.3,Adam,"[0.4691, 0.0067]","[0.4195, 0.0062]","[0.3824, 0.0058]","[0.542, 0.0078]","[0.6975, 0.0051]","[0.3583, 0.006]","[0.299, 0.0053]","[0.2546, 0.0048]","[0.4611, 0.0071]","[0.457, 0.0068]","[0.6643, 0.0065]","[0.794, 0.0055]","[0.8752, 0.0043]","[0.4681, 0.007]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,300,0.3,Adam,"[0.4663, 0.0067]","[0.4169, 0.0061]","[0.38, 0.0057]","[0.5399, 0.0078]","[0.6937, 0.0051]","[0.3546, 0.0059]","[0.2964, 0.0053]","[0.2529, 0.0048]","[0.4607, 0.007]","[0.4545, 0.0068]","[0.6587, 0.0065]","[0.7907, 0.0055]","[0.8704, 0.0044]","[0.4686, 0.007]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,300,0.3,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,300,0.3,Adam,"[0.4051, 0.0062]","[0.3636, 0.0055]","[0.3335, 0.0051]","[0.4696, 0.0076]","[0.6243, 0.0052]","[0.3111, 0.0053]","[0.2635, 0.0047]","[0.2305, 0.0043]","[0.3959, 0.0065]","[0.3974, 0.0065]","[0.5922, 0.0069]","[0.7168, 0.0061]","[0.8104, 0.0052]","[0.4084, 0.0071]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,300,0.3,Adam,"[0.4468, 0.0065]","[0.3993, 0.0059]","[0.3644, 0.0055]","[0.5205, 0.0077]","[0.6714, 0.0052]","[0.3394, 0.0057]","[0.2838, 0.005]","[0.2451, 0.0045]","[0.4374, 0.0069]","[0.4351, 0.0066]","[0.6337, 0.0067]","[0.7607, 0.0058]","[0.8519, 0.0047]","[0.4415, 0.007]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.001,300,0.3,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,300,0.3,Adam,"[0.2785, 0.0058]","[0.2603, 0.0051]","[0.2464, 0.0047]","[0.3055, 0.0072]","[0.469, 0.0054]","[0.2388, 0.0047]","[0.2151, 0.0043]","[0.1981, 0.004]","[0.2762, 0.0059]","[0.2674, 0.0059]","[0.4404, 0.0072]","[0.5723, 0.007]","[0.6843, 0.0064]","[0.2662, 0.0065]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,300,0.3,Adam,"[0.3995, 0.006]","[0.3585, 0.0054]","[0.3288, 0.005]","[0.4671, 0.0074]","[0.6205, 0.0053]","[0.305, 0.0051]","[0.26, 0.0045]","[0.2281, 0.0042]","[0.385, 0.0063]","[0.3907, 0.0064]","[0.5793, 0.0068]","[0.7086, 0.0061]","[0.8036, 0.0052]","[0.3936, 0.007]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.001,300,0.3,Adam,"[0.3154, 0.0057]","[0.2916, 0.0051]","[0.2721, 0.0047]","[0.346, 0.007]","[0.5065, 0.0054]","[0.2618, 0.0046]","[0.2317, 0.0043]","[0.2029, 0.004]","[0.3109, 0.0059]","[0.3016, 0.0059]","[0.4918, 0.007]","[0.6218, 0.0065]","[0.6991, 0.0061]","[0.3073, 0.0066]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,300,0.3,Adam,"[0.1579, 0.0046]","[0.159, 0.0042]","[0.1592, 0.004]","[0.1532, 0.0055]","[0.3083, 0.0046]","[0.1621, 0.004]","[0.1603, 0.0038]","[0.1596, 0.0036]","[0.1627, 0.0049]","[0.1557, 0.0046]","[0.265, 0.0061]","[0.388, 0.0067]","[0.5161, 0.0069]","[0.1327, 0.0047]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0005,300,0.3,Adam,"[0.3049, 0.0058]","[0.286, 0.0052]","[0.2692, 0.0049]","[0.3206, 0.0071]","[0.4944, 0.0049]","[0.2712, 0.005]","[0.2345, 0.0045]","[0.2103, 0.0041]","[0.3185, 0.006]","[0.295, 0.0059]","[0.4963, 0.0067]","[0.6169, 0.0065]","[0.7244, 0.0059]","[0.3126, 0.0066]"
