model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0001,300,0.2,Adam,"[0.4679, 0.0067]","[0.4187, 0.0062]","[0.3819, 0.0058]","[0.5414, 0.0078]","[0.6966, 0.0052]","[0.3584, 0.006]","[0.2985, 0.0053]","[0.2546, 0.0048]","[0.4586, 0.0071]","[0.4563, 0.0068]","[0.6647, 0.0065]","[0.7937, 0.0055]","[0.8735, 0.0044]","[0.4633, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0005,300,0.2,Adam,"[0.4642, 0.0066]","[0.4155, 0.0061]","[0.379, 0.0057]","[0.5372, 0.0078]","[0.6939, 0.0051]","[0.3541, 0.0059]","[0.2964, 0.0052]","[0.253, 0.0048]","[0.4565, 0.007]","[0.4523, 0.0068]","[0.6587, 0.0065]","[0.7923, 0.0054]","[0.8723, 0.0044]","[0.4654, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.001,300,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0001,300,0.2,Adam,"[0.3941, 0.0061]","[0.356, 0.0055]","[0.3278, 0.0051]","[0.4537, 0.0076]","[0.6142, 0.0053]","[0.3086, 0.0052]","[0.2629, 0.0047]","[0.2313, 0.0043]","[0.3842, 0.0064]","[0.3842, 0.0065]","[0.5859, 0.0069]","[0.7112, 0.0062]","[0.8075, 0.0053]","[0.3961, 0.0072]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0005,300,0.2,Adam,"[0.4465, 0.0065]","[0.3995, 0.0059]","[0.3647, 0.0055]","[0.5209, 0.0077]","[0.6725, 0.0051]","[0.339, 0.0057]","[0.2854, 0.005]","[0.2452, 0.0045]","[0.4356, 0.0068]","[0.4338, 0.0067]","[0.6343, 0.0067]","[0.7677, 0.0057]","[0.8526, 0.0046]","[0.4414, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.001,300,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0001,300,0.2,Adam,"[0.2917, 0.0058]","[0.271, 0.0051]","[0.2559, 0.0047]","[0.3251, 0.0073]","[0.4927, 0.0054]","[0.2439, 0.0047]","[0.2209, 0.0043]","[0.2039, 0.004]","[0.2858, 0.0059]","[0.2875, 0.0061]","[0.4544, 0.007]","[0.5922, 0.0067]","[0.7055, 0.0061]","[0.2826, 0.0066]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0005,300,0.2,Adam,"[0.3994, 0.0062]","[0.359, 0.0055]","[0.3294, 0.0051]","[0.4601, 0.0076]","[0.6108, 0.0052]","[0.3095, 0.0052]","[0.2603, 0.0045]","[0.2288, 0.0042]","[0.3918, 0.0064]","[0.3838, 0.0063]","[0.586, 0.0069]","[0.7103, 0.0062]","[0.8037, 0.0053]","[0.3959, 0.0068]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.001,300,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.0001,300,0.2,Adam,"[0.146, 0.0046]","[0.1443, 0.0042]","[0.1431, 0.0039]","[0.1474, 0.0056]","[0.268, 0.0046]","[0.1424, 0.004]","[0.14, 0.0036]","[0.1391, 0.0035]","[0.147, 0.0049]","[0.1394, 0.0044]","[0.2199, 0.0056]","[0.3248, 0.0063]","[0.4323, 0.0067]","[0.1117, 0.0043]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.0005,300,0.2,Adam,"[0.1327, 0.0042]","[0.1371, 0.0039]","[0.1419, 0.0037]","[0.136, 0.0052]","[0.2942, 0.0046]","[0.1352, 0.0038]","[0.1519, 0.0037]","[0.1582, 0.0036]","[0.124, 0.0043]","[0.1299, 0.0043]","[0.2067, 0.0054]","[0.3667, 0.0068]","[0.5136, 0.0071]","[0.0915, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.001,300,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.0001,300,0.2,Adam,"[0.1523, 0.0046]","[0.1565, 0.0043]","[0.1578, 0.0041]","[0.1432, 0.0054]","[0.3029, 0.0045]","[0.1639, 0.0043]","[0.1645, 0.004]","[0.1607, 0.0037]","[0.1568, 0.0049]","[0.1549, 0.0046]","[0.2556, 0.0059]","[0.392, 0.0068]","[0.5137, 0.007]","[0.1205, 0.0043]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.0005,300,0.2,Adam,"[0.1322, 0.0043]","[0.1409, 0.004]","[0.1459, 0.0039]","[0.1161, 0.0048]","[0.2918, 0.0043]","[0.1537, 0.0041]","[0.1598, 0.0038]","[0.162, 0.0037]","[0.1385, 0.0047]","[0.1369, 0.0044]","[0.2393, 0.0058]","[0.3845, 0.0066]","[0.5227, 0.0069]","[0.1014, 0.004]"
