model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0001,600,0.2,Adam,"[0.4584, 0.0066]","[0.4105, 0.006]","[0.3748, 0.0056]","[0.5298, 0.0077]","[0.6878, 0.0051]","[0.3511, 0.0058]","[0.2938, 0.0052]","[0.2517, 0.0047]","[0.4495, 0.0069]","[0.4494, 0.0067]","[0.6553, 0.0065]","[0.787, 0.0055]","[0.8683, 0.0045]","[0.4563, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.0005,600,0.2,Adam,"[0.4697, 0.0067]","[0.4204, 0.0062]","[0.3834, 0.0058]","[0.5433, 0.0078]","[0.6983, 0.0051]","[0.3597, 0.006]","[0.2995, 0.0054]","[0.2556, 0.0048]","[0.4622, 0.0071]","[0.4578, 0.0068]","[0.6649, 0.0065]","[0.7952, 0.0054]","[0.8771, 0.0043]","[0.468, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.0001,1,,0.001,600,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0001,600,0.2,Adam,"[0.4022, 0.0062]","[0.3611, 0.0055]","[0.3311, 0.0051]","[0.466, 0.0075]","[0.6195, 0.0053]","[0.3095, 0.0052]","[0.2617, 0.0046]","[0.2287, 0.0042]","[0.3943, 0.0064]","[0.3947, 0.0064]","[0.5881, 0.0069]","[0.7156, 0.0062]","[0.8061, 0.0053]","[0.4035, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.0005,600,0.2,Adam,"[0.4559, 0.0066]","[0.4078, 0.006]","[0.372, 0.0056]","[0.5303, 0.0078]","[0.6819, 0.0051]","[0.3456, 0.0058]","[0.2905, 0.0051]","[0.2491, 0.0047]","[0.4472, 0.0069]","[0.4411, 0.0067]","[0.6432, 0.0066]","[0.7765, 0.0057]","[0.8617, 0.0045]","[0.4537, 0.007]"
CE-VAE,100,0.0001,0.0001,0.0001,0.001,1,,0.001,600,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0001,600,0.2,Adam,"[0.3197, 0.0057]","[0.2929, 0.0051]","[0.2732, 0.0047]","[0.3613, 0.0073]","[0.5212, 0.0053]","[0.2592, 0.0047]","[0.2282, 0.0042]","[0.2056, 0.0039]","[0.3134, 0.0059]","[0.3096, 0.0061]","[0.4913, 0.0071]","[0.6211, 0.0068]","[0.7245, 0.006]","[0.3181, 0.0068]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.0005,600,0.2,Adam,"[0.426, 0.0063]","[0.3805, 0.0057]","[0.3478, 0.0053]","[0.4979, 0.0076]","[0.6473, 0.0052]","[0.3221, 0.0054]","[0.2708, 0.0048]","[0.2373, 0.0044]","[0.4153, 0.0066]","[0.4118, 0.0065]","[0.6073, 0.0068]","[0.7315, 0.006]","[0.8292, 0.005]","[0.4211, 0.0069]"
CE-VAE,100,0.0001,0.0001,0.0001,0.01,1,,0.001,600,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.0001,600,0.2,Adam,"[0.207, 0.0054]","[0.2007, 0.0048]","[0.1955, 0.0045]","[0.2144, 0.0065]","[0.3729, 0.005]","[0.1948, 0.0045]","[0.1848, 0.0041]","[0.1766, 0.0038]","[0.2086, 0.0056]","[0.1951, 0.0052]","[0.3314, 0.0066]","[0.4685, 0.0069]","[0.5921, 0.0068]","[0.1801, 0.0055]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.0005,600,0.2,Adam,"[0.2904, 0.0059]","[0.2656, 0.0053]","[0.2498, 0.0049]","[0.3319, 0.0073]","[0.4689, 0.0054]","[0.2306, 0.0048]","[0.2089, 0.0044]","[0.1991, 0.0041]","[0.2857, 0.006]","[0.2684, 0.0057]","[0.3964, 0.0065]","[0.526, 0.0067]","[0.6708, 0.0064]","[0.2626, 0.006]"
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.001,600,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.0001,600,0.2,Adam,"[0.1635, 0.0051]","[0.1634, 0.0047]","[0.1635, 0.0044]","[0.1622, 0.006]","[0.3092, 0.0049]","[0.1634, 0.0044]","[0.1631, 0.0041]","[0.1647, 0.0039]","[0.1664, 0.0053]","[0.1565, 0.0047]","[0.2472, 0.0058]","[0.3737, 0.0066]","[0.5125, 0.007]","[0.1224, 0.0043]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.0005,600,0.2,Adam,"[0.2081, 0.0053]","[0.2022, 0.0048]","[0.1978, 0.0044]","[0.2148, 0.0064]","[0.3793, 0.0046]","[0.1937, 0.0044]","[0.1884, 0.004]","[0.1816, 0.0037]","[0.2162, 0.0055]","[0.1898, 0.0048]","[0.3233, 0.0064]","[0.4863, 0.007]","[0.6278, 0.0067]","[0.1798, 0.0051]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.001,600,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.001,0.0001,1,,0.0001,600,0.2,Adam,"[0.4793, 0.0067]","[0.4285, 0.0062]","[0.3901, 0.0058]","[0.5546, 0.0078]","[0.7098, 0.0051]","[0.3672, 0.0061]","[0.3036, 0.0054]","[0.2581, 0.0049]","[0.473, 0.0071]","[0.4707, 0.0069]","[0.6843, 0.0064]","[0.8059, 0.0053]","[0.8841, 0.0042]","[0.4861, 0.0071]"
CE-VAE,100,0.0001,0.0001,0.001,0.0001,1,,0.0005,600,0.2,Adam,"[0.4837, 0.0067]","[0.4319, 0.0062]","[0.3928, 0.0058]","[0.5605, 0.0077]","[0.7147, 0.005]","[0.3695, 0.0061]","[0.3041, 0.0054]","[0.2584, 0.0049]","[0.4763, 0.0071]","[0.4768, 0.0068]","[0.6903, 0.0064]","[0.8092, 0.0052]","[0.8868, 0.0042]","[0.4898, 0.0071]"
CE-VAE,100,0.0001,0.0001,0.001,0.0001,1,,0.001,600,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.0001,600,0.2,Adam,"[0.4639, 0.0066]","[0.4155, 0.006]","[0.379, 0.0057]","[0.5353, 0.0077]","[0.6933, 0.0051]","[0.3566, 0.0059]","[0.2966, 0.0052]","[0.2528, 0.0048]","[0.4567, 0.0069]","[0.4542, 0.0068]","[0.6673, 0.0065]","[0.7931, 0.0054]","[0.871, 0.0043]","[0.4701, 0.0071]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.0005,600,0.2,Adam,"[0.4781, 0.0067]","[0.4273, 0.0062]","[0.3891, 0.0058]","[0.5526, 0.0077]","[0.7072, 0.0051]","[0.3666, 0.0061]","[0.3026, 0.0054]","[0.257, 0.0049]","[0.4716, 0.0071]","[0.4687, 0.0068]","[0.6829, 0.0064]","[0.8016, 0.0054]","[0.8802, 0.0042]","[0.4846, 0.0071]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.001,600,0.2,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.001,0.01,1,,0.0001,600,0.2,Adam,"[0.4002, 0.0061]","[0.3611, 0.0054]","[0.3316, 0.005]","[0.4578, 0.0075]","[0.6222, 0.0052]","[0.3149, 0.0052]","[0.2646, 0.0046]","[0.2308, 0.0042]","[0.394, 0.0064]","[0.3938, 0.0065]","[0.6037, 0.007]","[0.7278, 0.0061]","[0.8155, 0.0051]","[0.4063, 0.0071]"
