model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.0001,300,0.5,Adam,"[0.4745, 0.0068]","[0.4243, 0.0062]","[0.3867, 0.0059]","[0.549, 0.0079]","[0.7027, 0.0051]","[0.362, 0.0061]","[0.3015, 0.0054]","[0.2568, 0.0049]","[0.4697, 0.0071]","[0.4626, 0.0069]","[0.6681, 0.0065]","[0.7992, 0.0054]","[0.8796, 0.0043]","[0.477, 0.007]"
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.0005,300,0.5,Adam,"[0.4679, 0.0067]","[0.4189, 0.0061]","[0.382, 0.0057]","[0.5409, 0.0078]","[0.6966, 0.0051]","[0.3573, 0.006]","[0.2988, 0.0053]","[0.2542, 0.0048]","[0.4617, 0.007]","[0.4566, 0.0068]","[0.6623, 0.0065]","[0.7955, 0.0055]","[0.8737, 0.0044]","[0.4708, 0.007]"
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.001,300,0.5,Adam,"[0.4656, 0.0067]","[0.4169, 0.0061]","[0.3803, 0.0058]","[0.5382, 0.0078]","[0.693, 0.0051]","[0.3548, 0.006]","[0.2979, 0.0053]","[0.2539, 0.0048]","[0.4586, 0.007]","[0.4522, 0.0068]","[0.6562, 0.0065]","[0.791, 0.0055]","[0.8718, 0.0044]","[0.4663, 0.007]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.0001,300,0.5,Adam,"[0.4384, 0.0064]","[0.3932, 0.0058]","[0.3593, 0.0054]","[0.5079, 0.0077]","[0.6635, 0.0052]","[0.3371, 0.0056]","[0.282, 0.0049]","[0.2422, 0.0045]","[0.4294, 0.0067]","[0.4324, 0.0066]","[0.6375, 0.0067]","[0.7648, 0.0057]","[0.8442, 0.0048]","[0.4391, 0.0071]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.0005,300,0.5,Adam,"[0.4553, 0.0066]","[0.4076, 0.006]","[0.372, 0.0056]","[0.5274, 0.0077]","[0.6813, 0.0052]","[0.3488, 0.0059]","[0.2913, 0.0052]","[0.249, 0.0047]","[0.4434, 0.0069]","[0.4424, 0.0067]","[0.6463, 0.0066]","[0.7755, 0.0057]","[0.8592, 0.0046]","[0.4488, 0.007]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.001,300,0.5,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.0001,300,0.5,Adam,"[0.3331, 0.006]","[0.3055, 0.0054]","[0.2853, 0.005]","[0.3765, 0.0075]","[0.5439, 0.0056]","[0.2711, 0.005]","[0.239, 0.0045]","[0.2161, 0.0042]","[0.3242, 0.0062]","[0.3279, 0.0064]","[0.5059, 0.0072]","[0.642, 0.0067]","[0.7529, 0.0059]","[0.3218, 0.0069]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.0005,300,0.5,Adam,"[0.4171, 0.0061]","[0.3744, 0.0055]","[0.343, 0.0052]","[0.4875, 0.0075]","[0.6423, 0.0052]","[0.3186, 0.0053]","[0.2714, 0.0048]","[0.2357, 0.0044]","[0.4017, 0.0064]","[0.4083, 0.0064]","[0.605, 0.0068]","[0.7364, 0.0059]","[0.8211, 0.0051]","[0.4143, 0.007]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.001,300,0.5,Adam,"[0.1064, 0.0038]","[0.1031, 0.0034]","[0.1024, 0.0032]","[0.1102, 0.0047]","[0.1918, 0.0042]","[0.0932, 0.0032]","[0.1029, 0.0032]","[0.1078, 0.0032]","[0.1254, 0.0043]","[0.1063, 0.0037]","[0.1274, 0.0042]","[0.2092, 0.0051]","[0.2997, 0.0061]","[0.0913, 0.0037]"
CE-VAE,200,0.0001,0.0001,0.0001,0.1,1,,0.0001,300,0.5,Adam,"[0.2135, 0.0052]","[0.2048, 0.0047]","[0.1978, 0.0044]","[0.2252, 0.0065]","[0.3757, 0.0051]","[0.1949, 0.0044]","[0.1827, 0.004]","[0.1736, 0.0038]","[0.214, 0.0055]","[0.2044, 0.0052]","[0.3402, 0.0067]","[0.4645, 0.0069]","[0.5774, 0.0068]","[0.1964, 0.0058]"
