model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,600,0.5,Adam,"[0.0396, 0.0022]","[0.0374, 0.0019]","[0.0358, 0.0017]","[0.0427, 0.003]","[0.0297, 0.0011]","[0.0903, 0.003]","[0.0349, 0.0016]","[0.0322, 0.0014]","[0.0299, 0.0012]","[0.0396, 0.0023]","[0.0228, 0.0008]","[0.0354, 0.0022]","[0.0598, 0.0037]","[0.0809, 0.0043]","[0.0989, 0.0047]","[0.0351, 0.0029]","[0.1788, 0.006]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0005,600,0.5,Adam,"[0.0318, 0.002]","[0.0301, 0.0017]","[0.0289, 0.0015]","[0.0343, 0.0027]","[0.0243, 0.001]","[0.074, 0.0027]","[0.0281, 0.0015]","[0.026, 0.0012]","[0.0244, 0.001]","[0.0316, 0.0021]","[0.0191, 0.0007]","[0.029, 0.002]","[0.0475, 0.0033]","[0.0655, 0.0039]","[0.0803, 0.0042]","[0.0274, 0.0026]","[0.1475, 0.0056]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.0001,1.0,,0.0001,600,0.5,Adam,"[0.0439, 0.0023]","[0.041, 0.002]","[0.0387, 0.0017]","[0.0488, 0.0032]","[0.0311, 0.0011]","[0.0986, 0.0033]","[0.0373, 0.0016]","[0.0339, 0.0014]","[0.031, 0.0012]","[0.0428, 0.0024]","[0.0229, 0.0008]","[0.0397, 0.0024]","[0.0693, 0.0042]","[0.093, 0.0047]","[0.109, 0.005]","[0.0412, 0.0033]","[0.1917, 0.0064]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.0001,1.0,,0.0005,600,0.5,Adam,"[0.0421, 0.0023]","[0.0393, 0.0019]","[0.0372, 0.0017]","[0.0465, 0.0031]","[0.0301, 0.0011]","[0.0961, 0.0033]","[0.0356, 0.0016]","[0.0322, 0.0013]","[0.0297, 0.0011]","[0.0419, 0.0023]","[0.0226, 0.0007]","[0.0396, 0.0025]","[0.0651, 0.004]","[0.0867, 0.0046]","[0.1046, 0.0049]","[0.0404, 0.0032]","[0.1885, 0.0062]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.0001,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.001,1.0,,0.0001,600,0.5,Adam,"[0.0429, 0.0023]","[0.04, 0.0019]","[0.0379, 0.0017]","[0.0472, 0.0031]","[0.0308, 0.0011]","[0.0979, 0.0033]","[0.0365, 0.0016]","[0.0329, 0.0013]","[0.0304, 0.0011]","[0.0424, 0.0024]","[0.0229, 0.0007]","[0.0397, 0.0025]","[0.0687, 0.0042]","[0.0894, 0.0046]","[0.1081, 0.005]","[0.0415, 0.0034]","[0.1914, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.001,1.0,,0.0005,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.001,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.01,1.0,,0.0001,600,0.5,Adam,"[0.0442, 0.0024]","[0.041, 0.002]","[0.0386, 0.0017]","[0.049, 0.0032]","[0.0311, 0.0011]","[0.0984, 0.0033]","[0.0371, 0.0017]","[0.0332, 0.0013]","[0.0307, 0.0012]","[0.0437, 0.0024]","[0.023, 0.0007]","[0.041, 0.0025]","[0.0677, 0.0041]","[0.0892, 0.0046]","[0.1069, 0.005]","[0.0421, 0.0033]","[0.1902, 0.0062]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.01,1.0,,0.0005,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.01,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.1,1.0,,0.0001,600,0.5,Adam,"[0.0403, 0.0022]","[0.0377, 0.0019]","[0.0358, 0.0016]","[0.0444, 0.003]","[0.0294, 0.0011]","[0.0916, 0.0031]","[0.0343, 0.0016]","[0.0315, 0.0013]","[0.0295, 0.0012]","[0.0389, 0.0022]","[0.0222, 0.0007]","[0.0377, 0.0024]","[0.0603, 0.0038]","[0.0817, 0.0044]","[0.0994, 0.0047]","[0.0365, 0.0031]","[0.1807, 0.0061]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.1,1.0,,0.0005,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.1,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,1.0,1.0,,0.0001,600,0.5,Adam,"[0.0393, 0.0022]","[0.0372, 0.0019]","[0.0355, 0.0017]","[0.0422, 0.0029]","[0.0295, 0.0011]","[0.0898, 0.003]","[0.0351, 0.0017]","[0.0319, 0.0014]","[0.0295, 0.0012]","[0.0396, 0.0023]","[0.0225, 0.0008]","[0.0343, 0.0021]","[0.0602, 0.0038]","[0.0823, 0.0045]","[0.0998, 0.0048]","[0.0339, 0.0029]","[0.181, 0.0062]"
E-CDE-VAE,100,0.0001,0.0001,0.001,1.0,1.0,,0.0005,600,0.5,Adam,"[0.0323, 0.002]","[0.0306, 0.0017]","[0.0292, 0.0015]","[0.0343, 0.0026]","[0.0246, 0.001]","[0.0747, 0.0027]","[0.0289, 0.0015]","[0.026, 0.0012]","[0.0244, 0.0011]","[0.0321, 0.0021]","[0.0197, 0.0007]","[0.0288, 0.0019]","[0.0487, 0.0034]","[0.0647, 0.0039]","[0.0798, 0.0043]","[0.0273, 0.0026]","[0.1496, 0.0055]"
E-CDE-VAE,100,0.0001,0.0001,0.001,1.0,1.0,,0.001,600,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.0001,1.0,,0.0001,600,0.5,Adam,"[0.0443, 0.0024]","[0.0412, 0.002]","[0.0389, 0.0017]","[0.0494, 0.0032]","[0.0313, 0.0011]","[0.0999, 0.0034]","[0.0373, 0.0017]","[0.0337, 0.0013]","[0.0309, 0.0012]","[0.0433, 0.0024]","[0.0231, 0.0007]","[0.0402, 0.0025]","[0.0694, 0.0042]","[0.0916, 0.0047]","[0.1097, 0.0051]","[0.0416, 0.0033]","[0.1946, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.01,0.0001,1.0,,0.0005,600,0.5,Adam,"[0.0293, 0.0019]","[0.0278, 0.0016]","[0.0268, 0.0015]","[0.0314, 0.0026]","[0.0226, 0.001]","[0.0644, 0.0025]","[0.026, 0.0014]","[0.0242, 0.0012]","[0.0229, 0.001]","[0.0287, 0.002]","[0.018, 0.0007]","[0.0256, 0.0017]","[0.0384, 0.0028]","[0.0525, 0.0033]","[0.0666, 0.0037]","[0.0212, 0.0021]","[0.128, 0.0051]"
