model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,300,0.5,Adam,"[0.0442, 0.0024]","[0.0413, 0.002]","[0.0391, 0.0017]","[0.0488, 0.0032]","[0.0318, 0.0012]","[0.1001, 0.0033]","[0.0376, 0.0017]","[0.0343, 0.0014]","[0.0317, 0.0012]","[0.0432, 0.0024]","[0.0238, 0.0008]","[0.0406, 0.0025]","[0.0682, 0.0041]","[0.0908, 0.0046]","[0.1108, 0.0051]","[0.0417, 0.0033]","[0.1955, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,300,0.5,Adam,"[0.043, 0.0024]","[0.04, 0.002]","[0.0379, 0.0017]","[0.0478, 0.0032]","[0.0308, 0.0011]","[0.0963, 0.0032]","[0.0359, 0.0016]","[0.0327, 0.0013]","[0.0307, 0.0012]","[0.0424, 0.0024]","[0.0227, 0.0007]","[0.0388, 0.0024]","[0.0652, 0.004]","[0.0875, 0.0046]","[0.1069, 0.005]","[0.0402, 0.0032]","[0.1878, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,300,0.5,Adam,"[0.0434, 0.0024]","[0.0406, 0.002]","[0.0385, 0.0017]","[0.0479, 0.0032]","[0.0315, 0.0012]","[0.0994, 0.0033]","[0.0367, 0.0017]","[0.0336, 0.0014]","[0.0313, 0.0012]","[0.0429, 0.0024]","[0.0236, 0.0008]","[0.0392, 0.0024]","[0.0653, 0.004]","[0.0876, 0.0045]","[0.1073, 0.0049]","[0.0406, 0.0033]","[0.1983, 0.0064]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,300,0.5,Adam,"[0.0427, 0.0023]","[0.0398, 0.0019]","[0.0377, 0.0017]","[0.0471, 0.0031]","[0.0305, 0.0011]","[0.0967, 0.0033]","[0.0364, 0.0017]","[0.0328, 0.0013]","[0.0302, 0.0012]","[0.0428, 0.0024]","[0.0229, 0.0008]","[0.0403, 0.0025]","[0.0657, 0.0041]","[0.0861, 0.0046]","[0.1044, 0.0049]","[0.0421, 0.0034]","[0.1883, 0.0062]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.001,1.0,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,300,0.5,Adam,"[0.0444, 0.0024]","[0.0414, 0.002]","[0.0391, 0.0017]","[0.0489, 0.0031]","[0.0314, 0.0012]","[0.0996, 0.0033]","[0.0378, 0.0017]","[0.0337, 0.0013]","[0.0309, 0.0012]","[0.044, 0.0024]","[0.0234, 0.0008]","[0.0411, 0.0026]","[0.0701, 0.0042]","[0.0917, 0.0047]","[0.1091, 0.005]","[0.0427, 0.0033]","[0.1934, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,300,0.5,Adam,"[0.0196, 0.0016]","[0.0185, 0.0013]","[0.0178, 0.0012]","[0.0217, 0.0022]","[0.0153, 0.0008]","[0.0455, 0.0022]","[0.0167, 0.0011]","[0.016, 0.0009]","[0.0151, 0.0008]","[0.019, 0.0016]","[0.0125, 0.0005]","[0.0181, 0.0016]","[0.0264, 0.0025]","[0.0368, 0.003]","[0.0449, 0.0032]","[0.0157, 0.002]","[0.0914, 0.0045]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.01,1.0,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,300,0.5,Adam,"[0.043, 0.0023]","[0.0404, 0.002]","[0.0385, 0.0017]","[0.0477, 0.0031]","[0.0319, 0.0012]","[0.0983, 0.0031]","[0.0368, 0.0017]","[0.0342, 0.0014]","[0.0319, 0.0012]","[0.0409, 0.0023]","[0.0243, 0.0008]","[0.039, 0.0023]","[0.0643, 0.0039]","[0.0883, 0.0046]","[0.1089, 0.005]","[0.0372, 0.0031]","[0.1958, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.0005,300,0.5,Adam,"[0.022, 0.0016]","[0.0211, 0.0014]","[0.0204, 0.0012]","[0.0235, 0.0022]","[0.017, 0.0008]","[0.0496, 0.0022]","[0.02, 0.0012]","[0.0189, 0.001]","[0.0174, 0.0008]","[0.0216, 0.0017]","[0.0132, 0.0005]","[0.0196, 0.0015]","[0.0305, 0.0025]","[0.0435, 0.0031]","[0.0529, 0.0034]","[0.0174, 0.002]","[0.0973, 0.0045]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,0.1,1.0,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,300,0.5,Adam,"[0.0397, 0.0022]","[0.0378, 0.0019]","[0.0362, 0.0017]","[0.0428, 0.003]","[0.0301, 0.0012]","[0.091, 0.003]","[0.0353, 0.0016]","[0.033, 0.0014]","[0.0305, 0.0012]","[0.04, 0.0023]","[0.0229, 0.0008]","[0.0361, 0.0022]","[0.0597, 0.0037]","[0.0831, 0.0044]","[0.1022, 0.0048]","[0.0342, 0.0029]","[0.1836, 0.0061]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.0005,300,0.5,Adam,"[0.0366, 0.0022]","[0.0344, 0.0018]","[0.0329, 0.0016]","[0.0396, 0.0029]","[0.0273, 0.0011]","[0.0828, 0.0029]","[0.0319, 0.0015]","[0.0293, 0.0013]","[0.0276, 0.0011]","[0.036, 0.0022]","[0.0208, 0.0007]","[0.0327, 0.0021]","[0.0533, 0.0035]","[0.0735, 0.0041]","[0.0913, 0.0045]","[0.0311, 0.0028]","[0.1656, 0.0059]"
E-CDE-VAE,100,0.0001,0.0001,0.0001,1.0,1.0,,0.001,300,0.5,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.0001,1.0,,0.0001,300,0.5,Adam,"[0.0433, 0.0023]","[0.0405, 0.0019]","[0.0385, 0.0017]","[0.0474, 0.0031]","[0.0315, 0.0012]","[0.0995, 0.0033]","[0.0373, 0.0017]","[0.0336, 0.0014]","[0.0315, 0.0012]","[0.0428, 0.0024]","[0.0238, 0.0008]","[0.04, 0.0025]","[0.0706, 0.0042]","[0.0915, 0.0047]","[0.1115, 0.0051]","[0.0419, 0.0034]","[0.1951, 0.0063]"
E-CDE-VAE,100,0.0001,0.0001,0.001,0.0001,1.0,,0.0005,300,0.5,Adam,"[0.0397, 0.0022]","[0.0376, 0.0018]","[0.0359, 0.0016]","[0.0426, 0.0029]","[0.0299, 0.0011]","[0.0935, 0.0031]","[0.0353, 0.0016]","[0.0322, 0.0013]","[0.0299, 0.0012]","[0.039, 0.0022]","[0.023, 0.0008]","[0.0366, 0.0023]","[0.0632, 0.0039]","[0.0849, 0.0045]","[0.1026, 0.0048]","[0.0367, 0.0031]","[0.1872, 0.0062]"
