model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-VAE,100,0.0001,0.0001,0.0001,0.1,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.0001,600,0.4,Adam,"[0.0419, 0.0023]","[0.0392, 0.0019]","[0.0372, 0.0017]","[0.0459, 0.0031]","[0.0304, 0.0012]","[0.0927, 0.0031]","[0.0361, 0.0016]","[0.0327, 0.0013]","[0.0305, 0.0012]","[0.0407, 0.0024]","[0.0228, 0.0008]","[0.0377, 0.0023]","[0.0629, 0.0038]","[0.0837, 0.0044]","[0.1036, 0.0049]","[0.0354, 0.0029]","[0.1809, 0.006]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.0005,600,0.4,Adam,"[0.0207, 0.0016]","[0.0194, 0.0014]","[0.0184, 0.0012]","[0.0222, 0.0021]","[0.0147, 0.0008]","[0.0375, 0.0019]","[0.0184, 0.0012]","[0.0161, 0.001]","[0.0148, 0.0008]","[0.0206, 0.0017]","[0.0107, 0.0005]","[0.0174, 0.0014]","[0.0232, 0.0021]","[0.0309, 0.0025]","[0.0383, 0.0028]","[0.0138, 0.0017]","[0.0674, 0.0037]"
CE-VAE,100,0.0001,0.0001,0.0001,1,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,0.0001,1,,0.0001,600,0.4,Adam,"[0.0421, 0.0023]","[0.0394, 0.0019]","[0.0373, 0.0017]","[0.0464, 0.0031]","[0.0303, 0.0011]","[0.0948, 0.0032]","[0.0361, 0.0016]","[0.0324, 0.0013]","[0.0302, 0.0011]","[0.0409, 0.0023]","[0.0225, 0.0007]","[0.0381, 0.0024]","[0.066, 0.0041]","[0.0862, 0.0045]","[0.1051, 0.005]","[0.0396, 0.0033]","[0.1844, 0.0062]"
CE-VAE,100,0.0001,0.0001,0.001,0.0001,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,0.0001,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.0001,600,0.4,Adam,"[0.0412, 0.0023]","[0.0385, 0.0019]","[0.0365, 0.0017]","[0.0454, 0.0031]","[0.0298, 0.0011]","[0.0955, 0.0033]","[0.0352, 0.0016]","[0.032, 0.0013]","[0.0297, 0.0011]","[0.0404, 0.0023]","[0.0226, 0.0007]","[0.0401, 0.0025]","[0.0648, 0.004]","[0.0866, 0.0046]","[0.1036, 0.0049]","[0.0394, 0.0032]","[0.1867, 0.0062]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,0.001,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,0.01,1,,0.0001,600,0.4,Adam,"[0.0417, 0.0023]","[0.0388, 0.0019]","[0.0368, 0.0017]","[0.0456, 0.003]","[0.0299, 0.0011]","[0.0938, 0.0032]","[0.0356, 0.0016]","[0.032, 0.0013]","[0.0297, 0.0011]","[0.0412, 0.0023]","[0.0224, 0.0007]","[0.0374, 0.0024]","[0.0654, 0.004]","[0.0865, 0.0045]","[0.1052, 0.005]","[0.0388, 0.0032]","[0.1831, 0.0061]"
CE-VAE,100,0.0001,0.0001,0.001,0.01,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,0.01,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,0.1,1,,0.0001,600,0.4,Adam,"[0.0414, 0.0023]","[0.0386, 0.0019]","[0.0365, 0.0017]","[0.0459, 0.0031]","[0.0296, 0.0011]","[0.0913, 0.0031]","[0.0349, 0.0016]","[0.0317, 0.0013]","[0.0294, 0.0012]","[0.0404, 0.0023]","[0.0222, 0.0007]","[0.0373, 0.0023]","[0.0607, 0.0038]","[0.081, 0.0043]","[0.0978, 0.0047]","[0.0363, 0.003]","[0.1768, 0.006]"
CE-VAE,100,0.0001,0.0001,0.001,0.1,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,0.1,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.001,1,1,,0.0001,600,0.4,Adam,"[0.0409, 0.0023]","[0.0385, 0.0019]","[0.0367, 0.0017]","[0.0443, 0.003]","[0.0302, 0.0011]","[0.0931, 0.0031]","[0.0357, 0.0016]","[0.0326, 0.0013]","[0.0303, 0.0012]","[0.0402, 0.0023]","[0.0229, 0.0008]","[0.0363, 0.0022]","[0.0635, 0.0039]","[0.0846, 0.0044]","[0.1015, 0.0048]","[0.0376, 0.0031]","[0.1842, 0.0061]"
CE-VAE,100,0.0001,0.0001,0.001,1,1,,0.0005,600,0.4,Adam,"[0.0268, 0.0018]","[0.0253, 0.0016]","[0.0242, 0.0014]","[0.0293, 0.0025]","[0.0203, 0.0009]","[0.0589, 0.0024]","[0.0232, 0.0013]","[0.0218, 0.0011]","[0.0205, 0.001]","[0.0267, 0.0019]","[0.0157, 0.0006]","[0.0222, 0.0016]","[0.0368, 0.003]","[0.0509, 0.0035]","[0.063, 0.0038]","[0.0229, 0.0024]","[0.1166, 0.005]"
CE-VAE,100,0.0001,0.0001,0.001,1,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.01,0.0001,1,,0.0001,600,0.4,Adam,"[0.0429, 0.0023]","[0.0398, 0.002]","[0.0376, 0.0017]","[0.0478, 0.0031]","[0.0305, 0.0011]","[0.0964, 0.0033]","[0.0359, 0.0017]","[0.0322, 0.0014]","[0.0303, 0.0012]","[0.0423, 0.0024]","[0.0228, 0.0008]","[0.0398, 0.0025]","[0.066, 0.0041]","[0.0864, 0.0046]","[0.1078, 0.0051]","[0.0404, 0.0033]","[0.1879, 0.0063]"
CE-VAE,100,0.0001,0.0001,0.01,0.0001,1,,0.0005,600,0.4,Adam,"[0.0329, 0.002]","[0.031, 0.0017]","[0.0296, 0.0015]","[0.0354, 0.0027]","[0.0248, 0.001]","[0.0732, 0.0028]","[0.0286, 0.0015]","[0.0265, 0.0012]","[0.0249, 0.0011]","[0.0323, 0.0021]","[0.0191, 0.0007]","[0.0294, 0.002]","[0.0469, 0.0033]","[0.0633, 0.0038]","[0.0777, 0.0041]","[0.0277, 0.0026]","[0.1407, 0.0054]"
CE-VAE,100,0.0001,0.0001,0.01,0.0001,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.01,0.001,1,,0.0001,600,0.4,Adam,"[0.0425, 0.0023]","[0.0396, 0.0019]","[0.0375, 0.0017]","[0.0474, 0.0031]","[0.0303, 0.0011]","[0.0962, 0.0033]","[0.0357, 0.0016]","[0.0326, 0.0013]","[0.0304, 0.0012]","[0.0421, 0.0024]","[0.0224, 0.0007]","[0.0403, 0.0026]","[0.0654, 0.004]","[0.0874, 0.0046]","[0.1072, 0.005]","[0.0408, 0.0033]","[0.1866, 0.0063]"
CE-VAE,100,0.0001,0.0001,0.01,0.001,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.01,0.001,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.01,0.01,1,,0.0001,600,0.4,Adam,"[0.041, 0.0023]","[0.0383, 0.0019]","[0.0364, 0.0017]","[0.045, 0.003]","[0.0298, 0.0011]","[0.0937, 0.0032]","[0.0348, 0.0016]","[0.032, 0.0013]","[0.0297, 0.0011]","[0.0414, 0.0024]","[0.0224, 0.0007]","[0.0369, 0.0023]","[0.063, 0.004]","[0.0862, 0.0046]","[0.1064, 0.005]","[0.0384, 0.0032]","[0.1862, 0.0062]"
CE-VAE,100,0.0001,0.0001,0.01,0.01,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.01,0.01,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.01,0.1,1,,0.0001,600,0.4,Adam,"[0.0415, 0.0023]","[0.0389, 0.0019]","[0.0369, 0.0017]","[0.0458, 0.0031]","[0.0301, 0.0011]","[0.0946, 0.0031]","[0.0355, 0.0016]","[0.0326, 0.0013]","[0.0298, 0.0011]","[0.0405, 0.0023]","[0.0228, 0.0008]","[0.0378, 0.0023]","[0.0638, 0.004]","[0.0874, 0.0046]","[0.1053, 0.005]","[0.0374, 0.0031]","[0.189, 0.0062]"
CE-VAE,100,0.0001,0.0001,0.01,0.1,1,,0.0005,600,0.4,Adam,"[0.0201, 0.0016]","[0.019, 0.0013]","[0.0181, 0.0012]","[0.0215, 0.0021]","[0.0152, 0.0008]","[0.0398, 0.0018]","[0.0178, 0.0012]","[0.0162, 0.0009]","[0.0152, 0.0008]","[0.0202, 0.0017]","[0.012, 0.0005]","[0.0162, 0.0012]","[0.0233, 0.0022]","[0.031, 0.0024]","[0.0389, 0.0027]","[0.013, 0.0016]","[0.0755, 0.0038]"
CE-VAE,100,0.0001,0.0001,0.01,0.1,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.01,1,1,,0.0001,600,0.4,Adam,"[0.0392, 0.0022]","[0.0369, 0.0019]","[0.0351, 0.0017]","[0.0429, 0.003]","[0.0291, 0.0011]","[0.0895, 0.003]","[0.0339, 0.0016]","[0.0314, 0.0013]","[0.0291, 0.0012]","[0.0378, 0.0022]","[0.0222, 0.0008]","[0.0349, 0.0022]","[0.0601, 0.0039]","[0.0797, 0.0043]","[0.0983, 0.0048]","[0.0352, 0.0031]","[0.1773, 0.006]"
CE-VAE,100,0.0001,0.0001,0.01,1,1,,0.0005,600,0.4,Adam,"[0.0215, 0.0016]","[0.02, 0.0014]","[0.0189, 0.0012]","[0.0239, 0.0022]","[0.0158, 0.0008]","[0.0431, 0.002]","[0.0179, 0.0011]","[0.0164, 0.0009]","[0.0155, 0.0008]","[0.0215, 0.0017]","[0.0122, 0.0005]","[0.0179, 0.0014]","[0.0242, 0.0022]","[0.0334, 0.0026]","[0.0411, 0.0029]","[0.0153, 0.0018]","[0.0819, 0.0041]"
CE-VAE,100,0.0001,0.0001,0.01,1,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.1,0.0001,1,,0.0001,600,0.4,Adam,"[0.0412, 0.0023]","[0.039, 0.0019]","[0.0372, 0.0017]","[0.0447, 0.0031]","[0.031, 0.0012]","[0.0952, 0.0031]","[0.0362, 0.0017]","[0.0332, 0.0014]","[0.0312, 0.0012]","[0.0407, 0.0024]","[0.0238, 0.0008]","[0.037, 0.0023]","[0.0638, 0.0039]","[0.0851, 0.0045]","[0.1056, 0.0049]","[0.0362, 0.0031]","[0.1919, 0.0063]"
CE-VAE,100,0.0001,0.0001,0.1,0.0001,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.1,0.0001,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.1,0.001,1,,0.0001,600,0.4,Adam,"[0.0432, 0.0023]","[0.0402, 0.002]","[0.0382, 0.0017]","[0.0471, 0.0031]","[0.0313, 0.0012]","[0.0963, 0.0032]","[0.0367, 0.0017]","[0.0333, 0.0014]","[0.0311, 0.0012]","[0.0433, 0.0024]","[0.0237, 0.0008]","[0.0392, 0.0024]","[0.0667, 0.0041]","[0.0869, 0.0046]","[0.1056, 0.0049]","[0.0403, 0.0033]","[0.1887, 0.0062]"
CE-VAE,100,0.0001,0.0001,0.1,0.001,1,,0.0005,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CE-VAE,100,0.0001,0.0001,0.1,0.001,1,,0.001,600,0.4,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
