model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1e-05,,0.0001,300,0.5,Adam,"[0.0535, 0.0027]","[0.0484, 0.0022]","[0.0446, 0.002]","[0.061, 0.0036]","[0.0326, 0.0012]","[0.1344, 0.0044]","[0.0422, 0.0018]","[0.0358, 0.0015]","[0.0316, 0.0012]","[0.0533, 0.0028]","[0.0203, 0.0007]","[0.0548, 0.0034]","[0.1176, 0.0055]","[0.1453, 0.006]","[0.17, 0.0065]","[0.0756, 0.0045]","[0.264, 0.0077]"
CDE-VAE,100,1e-05,,0.0005,300,0.5,Adam,"[0.0467, 0.0026]","[0.0421, 0.0021]","[0.0387, 0.0019]","[0.0538, 0.0035]","[0.0284, 0.0012]","[0.1166, 0.0043]","[0.0361, 0.0017]","[0.0308, 0.0014]","[0.0271, 0.0012]","[0.0467, 0.0026]","[0.0181, 0.0007]","[0.0471, 0.0031]","[0.0966, 0.0051]","[0.1221, 0.0057]","[0.1418, 0.0061]","[0.0644, 0.0041]","[0.2305, 0.0075]"
CDE-VAE,100,1e-05,,0.001,300,0.5,Adam,"[0.0061, 0.0008]","[0.006, 0.0007]","[0.006, 0.0006]","[0.006, 0.0011]","[0.0056, 0.0004]","[0.0233, 0.0015]","[0.0059, 0.0006]","[0.0058, 0.0005]","[0.0059, 0.0005]","[0.0063, 0.0009]","[0.0045, 0.0003]","[0.0056, 0.001]","[0.0146, 0.0019]","[0.0214, 0.0023]","[0.0293, 0.0028]","[0.0073, 0.0013]","[0.0587, 0.0039]"
CDE-VAE,100,0.0001,,0.0001,300,0.5,Adam,"[0.0541, 0.0027]","[0.0488, 0.0023]","[0.045, 0.002]","[0.0619, 0.0037]","[0.0329, 0.0013]","[0.1362, 0.0045]","[0.0422, 0.0018]","[0.036, 0.0014]","[0.0317, 0.0012]","[0.0538, 0.0028]","[0.0206, 0.0007]","[0.0553, 0.0034]","[0.1182, 0.0056]","[0.1481, 0.0062]","[0.1711, 0.0066]","[0.0773, 0.0046]","[0.268, 0.0078]"
CDE-VAE,100,0.0001,,0.0005,300,0.5,Adam,"[0.0474, 0.0026]","[0.0424, 0.0022]","[0.039, 0.0019]","[0.0548, 0.0035]","[0.0286, 0.0012]","[0.1179, 0.0043]","[0.0359, 0.0018]","[0.0308, 0.0014]","[0.0273, 0.0012]","[0.0473, 0.0027]","[0.0183, 0.0007]","[0.0489, 0.0032]","[0.0936, 0.005]","[0.1188, 0.0057]","[0.1395, 0.0061]","[0.0638, 0.0041]","[0.2335, 0.0075]"
CDE-VAE,100,0.0001,,0.001,300,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,100,0.001,,0.0001,300,0.5,Adam,"[0.0547, 0.0027]","[0.0495, 0.0023]","[0.0456, 0.002]","[0.0623, 0.0037]","[0.0333, 0.0013]","[0.1362, 0.0045]","[0.0431, 0.0019]","[0.0368, 0.0015]","[0.0325, 0.0013]","[0.0546, 0.0028]","[0.0208, 0.0008]","[0.0557, 0.0034]","[0.1197, 0.0056]","[0.1492, 0.0062]","[0.1732, 0.0066]","[0.0784, 0.0046]","[0.2656, 0.0077]"
CDE-VAE,100,0.001,,0.0005,300,0.5,Adam,"[0.0482, 0.0027]","[0.0434, 0.0022]","[0.0399, 0.0019]","[0.0557, 0.0036]","[0.0294, 0.0012]","[0.12, 0.0043]","[0.0369, 0.0018]","[0.0319, 0.0014]","[0.028, 0.0012]","[0.0477, 0.0027]","[0.0189, 0.0007]","[0.0484, 0.0032]","[0.096, 0.0051]","[0.1233, 0.0058]","[0.1427, 0.0061]","[0.0646, 0.0041]","[0.2382, 0.0075]"
CDE-VAE,100,0.001,,0.001,300,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,100,0.01,,0.0001,300,0.5,Adam,"[0.0338, 0.0022]","[0.0314, 0.0018]","[0.0295, 0.0016]","[0.0374, 0.0029]","[0.023, 0.0011]","[0.0949, 0.0036]","[0.0283, 0.0015]","[0.0253, 0.0012]","[0.0229, 0.0011]","[0.0333, 0.0022]","[0.0161, 0.0007]","[0.0328, 0.0026]","[0.0742, 0.0044]","[0.0985, 0.005]","[0.1178, 0.0055]","[0.0448, 0.0035]","[0.2042, 0.0069]"
CDE-VAE,100,0.01,,0.0005,300,0.5,Adam,"[0.0385, 0.0023]","[0.0351, 0.0019]","[0.0328, 0.0017]","[0.0435, 0.0031]","[0.0251, 0.0011]","[0.102, 0.0038]","[0.0309, 0.0016]","[0.0272, 0.0013]","[0.0246, 0.0011]","[0.0385, 0.0024]","[0.0169, 0.0007]","[0.0381, 0.0028]","[0.082, 0.0046]","[0.1066, 0.0052]","[0.1271, 0.0056]","[0.0526, 0.0037]","[0.2099, 0.007]"
CDE-VAE,100,0.01,,0.001,300,0.5,Adam,"[0.0427, 0.0025]","[0.039, 0.0021]","[0.0363, 0.0018]","[0.0486, 0.0033]","[0.0275, 0.0012]","[0.1141, 0.004]","[0.0343, 0.0017]","[0.0301, 0.0013]","[0.027, 0.0011]","[0.0424, 0.0025]","[0.0183, 0.0007]","[0.0427, 0.003]","[0.094, 0.005]","[0.1221, 0.0056]","[0.1445, 0.006]","[0.0586, 0.004]","[0.2358, 0.0074]"
CDE-VAE,100,0.1,,0.0001,300,0.5,Adam,"[0.0083, 0.001]","[0.0084, 0.0009]","[0.0084, 0.0008]","[0.0079, 0.0013]","[0.0075, 0.0005]","[0.0309, 0.0018]","[0.0086, 0.0008]","[0.0084, 0.0007]","[0.0079, 0.0006]","[0.0082, 0.0011]","[0.0063, 0.0004]","[0.0071, 0.001]","[0.0211, 0.0024]","[0.0316, 0.0029]","[0.0393, 0.0032]","[0.0089, 0.0014]","[0.0776, 0.0045]"
