model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,300,0.2,Adam,"[0.045, 0.0025]","[0.0412, 0.0021]","[0.0383, 0.0018]","[0.0506, 0.0033]","[0.0289, 0.0011]","[0.1219, 0.0042]","[0.0367, 0.0017]","[0.0317, 0.0014]","[0.0282, 0.0011]","[0.0445, 0.0025]","[0.0189, 0.0007]","[0.0461, 0.0031]","[0.1025, 0.0052]","[0.13, 0.0058]","[0.1531, 0.0062]","[0.0636, 0.0041]","[0.2519, 0.0075]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.0005,300,0.2,Adam,"[0.0433, 0.0024]","[0.0391, 0.002]","[0.0359, 0.0017]","[0.0498, 0.0033]","[0.0263, 0.0011]","[0.1143, 0.0042]","[0.034, 0.0016]","[0.0286, 0.0013]","[0.0252, 0.001]","[0.0428, 0.0024]","[0.0164, 0.0006]","[0.045, 0.0031]","[0.0989, 0.0052]","[0.1241, 0.0057]","[0.1447, 0.0061]","[0.0636, 0.0041]","[0.2293, 0.0074]"
E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.001,300,0.2,Adam,"[0.0352, 0.0022]","[0.032, 0.0018]","[0.0296, 0.0016]","[0.04, 0.003]","[0.0219, 0.001]","[0.0928, 0.0038]","[0.0281, 0.0015]","[0.0243, 0.0012]","[0.0214, 0.001]","[0.0351, 0.0022]","[0.014, 0.0005]","[0.036, 0.0027]","[0.0792, 0.0046]","[0.1003, 0.0052]","[0.1179, 0.0055]","[0.05, 0.0037]","[0.1879, 0.0068]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.0001,300,0.2,Adam,"[0.0611, 0.0029]","[0.0548, 0.0024]","[0.0503, 0.0021]","[0.0703, 0.0039]","[0.0363, 0.0013]","[0.1539, 0.0048]","[0.0472, 0.0019]","[0.0395, 0.0015]","[0.0348, 0.0013]","[0.0606, 0.0029]","[0.0223, 0.0007]","[0.0629, 0.0037]","[0.1356, 0.006]","[0.1672, 0.0066]","[0.194, 0.007]","[0.0892, 0.0049]","[0.3023, 0.0081]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.0005,300,0.2,Adam,"[0.0573, 0.0028]","[0.0512, 0.0023]","[0.0468, 0.002]","[0.067, 0.0038]","[0.0334, 0.0012]","[0.1449, 0.0047]","[0.0432, 0.0018]","[0.0365, 0.0014]","[0.032, 0.0012]","[0.0566, 0.0028]","[0.0198, 0.0006]","[0.0608, 0.0036]","[0.1289, 0.0059]","[0.1614, 0.0065]","[0.1868, 0.0069]","[0.087, 0.0049]","[0.2794, 0.0079]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.0001,300,0.2,Adam,"[0.0614, 0.0029]","[0.0552, 0.0024]","[0.0507, 0.0021]","[0.0704, 0.0039]","[0.0367, 0.0013]","[0.1546, 0.0047]","[0.0479, 0.002]","[0.0399, 0.0015]","[0.0352, 0.0013]","[0.0607, 0.0029]","[0.0224, 0.0007]","[0.0625, 0.0036]","[0.1373, 0.006]","[0.1687, 0.0066]","[0.196, 0.007]","[0.09, 0.005]","[0.3029, 0.008]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.0005,300,0.2,Adam,"[0.0584, 0.0028]","[0.052, 0.0023]","[0.0473, 0.002]","[0.0686, 0.0039]","[0.0335, 0.0012]","[0.1458, 0.0048]","[0.0437, 0.0018]","[0.0365, 0.0014]","[0.0318, 0.0012]","[0.058, 0.0029]","[0.0197, 0.0006]","[0.0608, 0.0036]","[0.1316, 0.006]","[0.1626, 0.0066]","[0.1864, 0.0069]","[0.0884, 0.0049]","[0.2809, 0.0079]"
E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.001,300,0.2,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
