model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.001,300,0.5,Adam,"[0.0461, 0.0025]","[0.0409, 0.0021]","[0.0371, 0.0018]","[0.0536, 0.0034]","[0.0259, 0.0011]","[0.1105, 0.0044]","[0.0347, 0.0016]","[0.0282, 0.0012]","[0.0245, 0.001]","[0.0456, 0.0026]","[0.0146, 0.0005]","[0.0479, 0.0033]","[0.1025, 0.0054]","[0.123, 0.0058]","[0.1419, 0.0062]","[0.0691, 0.0044]","[0.2056, 0.0072]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,300,0.5,Adam,"[0.0578, 0.0028]","[0.0522, 0.0023]","[0.0481, 0.002]","[0.0659, 0.0038]","[0.0353, 0.0013]","[0.1479, 0.0046]","[0.0454, 0.0019]","[0.0386, 0.0015]","[0.034, 0.0013]","[0.0581, 0.0029]","[0.0223, 0.0007]","[0.0589, 0.0035]","[0.1289, 0.0058]","[0.161, 0.0064]","[0.1867, 0.0068]","[0.0851, 0.0048]","[0.2935, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.0005,300,0.5,Adam,"[0.0565, 0.0028]","[0.0505, 0.0023]","[0.0462, 0.002]","[0.0652, 0.0037]","[0.033, 0.0012]","[0.1424, 0.0047]","[0.043, 0.0018]","[0.0362, 0.0014]","[0.0316, 0.0011]","[0.056, 0.0028]","[0.0197, 0.0006]","[0.0586, 0.0035]","[0.1273, 0.0058]","[0.1585, 0.0064]","[0.1832, 0.0068]","[0.0841, 0.0048]","[0.2769, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.001,300,0.5,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.0001,300,0.5,Adam,"[0.0582, 0.0028]","[0.0525, 0.0024]","[0.0484, 0.0021]","[0.0662, 0.0038]","[0.0354, 0.0013]","[0.1482, 0.0046]","[0.0458, 0.0019]","[0.0384, 0.0015]","[0.0342, 0.0013]","[0.0582, 0.0029]","[0.0223, 0.0008]","[0.059, 0.0035]","[0.1289, 0.0058]","[0.1596, 0.0064]","[0.1866, 0.0068]","[0.0842, 0.0048]","[0.2953, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.0005,300,0.5,Adam,"[0.0573, 0.0028]","[0.0513, 0.0023]","[0.047, 0.002]","[0.0664, 0.0038]","[0.0334, 0.0012]","[0.1435, 0.0047]","[0.0438, 0.0018]","[0.0369, 0.0014]","[0.032, 0.0012]","[0.0569, 0.0028]","[0.0197, 0.0006]","[0.0601, 0.0036]","[0.1285, 0.0058]","[0.16, 0.0065]","[0.1837, 0.0068]","[0.0853, 0.0048]","[0.2776, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.001,300,0.5,Adam,"[0.0543, 0.0027]","[0.0483, 0.0022]","[0.0441, 0.0019]","[0.0634, 0.0037]","[0.0314, 0.0012]","[0.1358, 0.0046]","[0.0406, 0.0018]","[0.0342, 0.0014]","[0.0297, 0.0011]","[0.0545, 0.0028]","[0.0186, 0.0006]","[0.058, 0.0036]","[0.1202, 0.0057]","[0.149, 0.0063]","[0.1726, 0.0067]","[0.0823, 0.0048]","[0.2629, 0.0078]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.0001,300,0.5,Adam,"[0.0588, 0.0028]","[0.0529, 0.0023]","[0.0486, 0.002]","[0.0675, 0.0038]","[0.0354, 0.0013]","[0.1492, 0.0046]","[0.0455, 0.0019]","[0.0387, 0.0015]","[0.0338, 0.0013]","[0.0582, 0.0029]","[0.0221, 0.0007]","[0.059, 0.0035]","[0.1293, 0.0058]","[0.1629, 0.0065]","[0.1864, 0.0068]","[0.0853, 0.0048]","[0.2955, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.0005,300,0.5,Adam,"[0.0573, 0.0028]","[0.0512, 0.0023]","[0.0468, 0.002]","[0.0664, 0.0038]","[0.0332, 0.0012]","[0.1431, 0.0047]","[0.0434, 0.0018]","[0.0365, 0.0014]","[0.0319, 0.0012]","[0.057, 0.0028]","[0.0195, 0.0006]","[0.0598, 0.0036]","[0.1293, 0.0059]","[0.1607, 0.0065]","[0.1844, 0.0069]","[0.0868, 0.0049]","[0.2751, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.001,300,0.5,Adam,"[0.0539, 0.0027]","[0.0481, 0.0022]","[0.0439, 0.0019]","[0.0627, 0.0037]","[0.0311, 0.0012]","[0.1345, 0.0046]","[0.0409, 0.0018]","[0.0338, 0.0014]","[0.0297, 0.0011]","[0.0531, 0.0027]","[0.0183, 0.0006]","[0.0562, 0.0035]","[0.1209, 0.0057]","[0.148, 0.0063]","[0.1708, 0.0067]","[0.0804, 0.0047]","[0.2588, 0.0079]"
