model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0001,600,0.4,Adam,"[0.0605, 0.0029]","[0.054, 0.0024]","[0.0494, 0.002]","[0.0705, 0.0039]","[0.0354, 0.0012]","[0.1525, 0.0048]","[0.0456, 0.0019]","[0.0384, 0.0015]","[0.0338, 0.0012]","[0.06, 0.0029]","[0.0213, 0.0007]","[0.0636, 0.0037]","[0.136, 0.006]","[0.1674, 0.0066]","[0.194, 0.007]","[0.0925, 0.0051]","[0.2937, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.0005,600,0.4,Adam,"[0.0581, 0.0028]","[0.0519, 0.0023]","[0.0474, 0.002]","[0.0678, 0.0038]","[0.0339, 0.0012]","[0.1456, 0.0047]","[0.0438, 0.0018]","[0.0371, 0.0014]","[0.0324, 0.0012]","[0.0578, 0.0029]","[0.0201, 0.0006]","[0.06, 0.0036]","[0.1296, 0.0059]","[0.1619, 0.0065]","[0.1873, 0.0069]","[0.0877, 0.0049]","[0.282, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.0001,1.0,,0.001,600,0.4,Adam,"[0.054, 0.0028]","[0.048, 0.0023]","[0.0438, 0.002]","[0.063, 0.0037]","[0.0311, 0.0012]","[0.1338, 0.0047]","[0.0404, 0.0018]","[0.0337, 0.0014]","[0.0296, 0.0011]","[0.0538, 0.0028]","[0.0184, 0.0006]","[0.0562, 0.0036]","[0.1187, 0.0057]","[0.146, 0.0063]","[0.1694, 0.0067]","[0.0808, 0.0047]","[0.2577, 0.0078]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0001,600,0.4,Adam,"[0.0613, 0.0029]","[0.0548, 0.0024]","[0.0501, 0.002]","[0.0708, 0.0039]","[0.0358, 0.0013]","[0.153, 0.0048]","[0.047, 0.0019]","[0.039, 0.0015]","[0.0342, 0.0012]","[0.0606, 0.0029]","[0.0212, 0.0007]","[0.0642, 0.0037]","[0.1384, 0.006]","[0.1697, 0.0066]","[0.1952, 0.007]","[0.0923, 0.005]","[0.2943, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.0005,600,0.4,Adam,"[0.0575, 0.0028]","[0.0515, 0.0023]","[0.0471, 0.002]","[0.0675, 0.0038]","[0.0336, 0.0012]","[0.145, 0.0047]","[0.0435, 0.0018]","[0.0371, 0.0014]","[0.0323, 0.0012]","[0.0561, 0.0028]","[0.0199, 0.0006]","[0.0602, 0.0036]","[0.1291, 0.0059]","[0.1621, 0.0065]","[0.1854, 0.0069]","[0.0857, 0.0049]","[0.2809, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.001,1.0,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0001,600,0.4,Adam,"[0.0612, 0.0029]","[0.0546, 0.0024]","[0.0498, 0.0021]","[0.0715, 0.0039]","[0.0357, 0.0013]","[0.1539, 0.0048]","[0.0462, 0.0019]","[0.0386, 0.0015]","[0.0338, 0.0012]","[0.06, 0.0029]","[0.0214, 0.0007]","[0.0642, 0.0037]","[0.137, 0.006]","[0.1694, 0.0066]","[0.1951, 0.007]","[0.091, 0.005]","[0.2977, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.0005,600,0.4,Adam,"[0.0581, 0.0028]","[0.0519, 0.0023]","[0.0474, 0.002]","[0.0673, 0.0038]","[0.0338, 0.0012]","[0.146, 0.0047]","[0.0439, 0.0018]","[0.0369, 0.0014]","[0.0321, 0.0012]","[0.0579, 0.0029]","[0.02, 0.0006]","[0.0607, 0.0036]","[0.1309, 0.0059]","[0.1613, 0.0065]","[0.1854, 0.0069]","[0.0894, 0.005]","[0.2834, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.01,1.0,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.0001,600,0.4,Adam,"[0.0617, 0.0029]","[0.055, 0.0024]","[0.0501, 0.0021]","[0.072, 0.0039]","[0.0356, 0.0013]","[0.1527, 0.0048]","[0.0465, 0.0019]","[0.0386, 0.0015]","[0.0338, 0.0012]","[0.0618, 0.003]","[0.0211, 0.0007]","[0.0653, 0.0037]","[0.1374, 0.006]","[0.1685, 0.0066]","[0.1942, 0.007]","[0.0934, 0.005]","[0.2935, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.0005,600,0.4,Adam,"[0.058, 0.0028]","[0.0516, 0.0023]","[0.047, 0.002]","[0.0674, 0.0038]","[0.0335, 0.0012]","[0.145, 0.0047]","[0.0436, 0.0018]","[0.0362, 0.0014]","[0.0317, 0.0012]","[0.0576, 0.0028]","[0.0199, 0.0006]","[0.0614, 0.0036]","[0.1296, 0.0059]","[0.1581, 0.0065]","[0.1832, 0.0068]","[0.0876, 0.0048]","[0.28, 0.0079]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,0.1,1.0,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.0001,600,0.4,Adam,"[0.061, 0.0029]","[0.0545, 0.0024]","[0.0498, 0.002]","[0.071, 0.0039]","[0.0356, 0.0012]","[0.1534, 0.0048]","[0.046, 0.0019]","[0.0389, 0.0015]","[0.0339, 0.0012]","[0.0602, 0.0029]","[0.0213, 0.0007]","[0.0633, 0.0037]","[0.1367, 0.006]","[0.1706, 0.0066]","[0.1963, 0.007]","[0.0919, 0.005]","[0.2959, 0.0081]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.0005,600,0.4,Adam,"[0.0587, 0.0028]","[0.0523, 0.0023]","[0.0477, 0.002]","[0.0688, 0.0038]","[0.0338, 0.0012]","[0.1466, 0.0048]","[0.0443, 0.0018]","[0.0367, 0.0014]","[0.0321, 0.0012]","[0.0577, 0.0028]","[0.0199, 0.0006]","[0.0614, 0.0036]","[0.1319, 0.006]","[0.1609, 0.0065]","[0.1861, 0.0069]","[0.0884, 0.0049]","[0.2808, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.0001,1.0,1.0,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.0001,600,0.4,Adam,"[0.0612, 0.0029]","[0.0547, 0.0024]","[0.05, 0.0021]","[0.0712, 0.0039]","[0.0357, 0.0013]","[0.1536, 0.0048]","[0.0464, 0.0019]","[0.0391, 0.0015]","[0.0343, 0.0012]","[0.0609, 0.0029]","[0.0212, 0.0007]","[0.0641, 0.0037]","[0.1378, 0.0061]","[0.17, 0.0067]","[0.1973, 0.007]","[0.0931, 0.005]","[0.2969, 0.0081]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.0005,600,0.4,Adam,"[0.0571, 0.0028]","[0.051, 0.0023]","[0.0466, 0.002]","[0.0664, 0.0038]","[0.0334, 0.0012]","[0.1443, 0.0047]","[0.0433, 0.0018]","[0.0364, 0.0014]","[0.0317, 0.0012]","[0.0572, 0.0028]","[0.02, 0.0006]","[0.0603, 0.0036]","[0.1284, 0.0058]","[0.1582, 0.0064]","[0.1823, 0.0068]","[0.0874, 0.0049]","[0.2813, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.0001,1.0,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.0001,600,0.4,Adam,"[0.0616, 0.0029]","[0.055, 0.0024]","[0.0502, 0.0021]","[0.0719, 0.0039]","[0.0358, 0.0013]","[0.1528, 0.0048]","[0.0464, 0.0019]","[0.0389, 0.0015]","[0.0342, 0.0012]","[0.0612, 0.003]","[0.0212, 0.0007]","[0.0636, 0.0037]","[0.137, 0.006]","[0.17, 0.0067]","[0.1956, 0.007]","[0.092, 0.005]","[0.2938, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.0005,600,0.4,Adam,"[0.0593, 0.0028]","[0.0528, 0.0023]","[0.0482, 0.002]","[0.0695, 0.0039]","[0.0341, 0.0012]","[0.1484, 0.0048]","[0.0443, 0.0018]","[0.0371, 0.0014]","[0.0325, 0.0012]","[0.0589, 0.0029]","[0.0202, 0.0006]","[0.0626, 0.0037]","[0.1315, 0.0059]","[0.1625, 0.0065]","[0.1882, 0.007]","[0.0901, 0.005]","[0.2868, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.001,1.0,,0.001,600,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.01,1.0,,0.0001,600,0.4,Adam,"[0.0615, 0.0029]","[0.0549, 0.0024]","[0.0502, 0.0021]","[0.0717, 0.0039]","[0.0358, 0.0013]","[0.1533, 0.0048]","[0.0465, 0.0019]","[0.0391, 0.0015]","[0.0342, 0.0012]","[0.0605, 0.0029]","[0.0213, 0.0007]","[0.0638, 0.0037]","[0.138, 0.0061]","[0.1701, 0.0066]","[0.1959, 0.007]","[0.0928, 0.0051]","[0.2947, 0.008]"
S-E-CDE-VAE,200,0.0001,0.0001,0.001,0.01,1.0,,0.0005,600,0.4,Adam,"[0.0583, 0.0028]","[0.0519, 0.0023]","[0.0474, 0.002]","[0.0683, 0.0038]","[0.0337, 0.0012]","[0.1452, 0.0047]","[0.0436, 0.0018]","[0.0367, 0.0014]","[0.0322, 0.0012]","[0.0578, 0.0028]","[0.02, 0.0006]","[0.0583, 0.0036]","[0.13, 0.0059]","[0.161, 0.0065]","[0.1854, 0.0068]","[0.0875, 0.0049]","[0.2807, 0.008]"
