model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch_rating,epoch_explanation,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
S-E-CDE-VAE,200,0.001,0.0001,1.0,1.0,1.0,,0.0001,300,0,0.3,Adam,"[0.0623, 0.0029]","[0.0558, 0.0024]","[0.051, 0.0021]","[0.0718, 0.0039]","[0.0364, 0.0013]","[0.1545, 0.0048]","[0.0481, 0.0019]","[0.0399, 0.0015]","[0.0348, 0.0012]","[0.0618, 0.003]","[0.0217, 0.0007]","[0.0634, 0.0036]","[0.1394, 0.006]","[0.1724, 0.0067]","[0.1982, 0.0071]","[0.0916, 0.005]","[0.3001, 0.0081]"
S-E-CDE-VAE,200,0.01,0.0001,1.0,1.0,1.0,,0.0001,300,0,0.3,Adam,"[0.0615, 0.0029]","[0.0553, 0.0024]","[0.0506, 0.0021]","[0.0713, 0.0039]","[0.0363, 0.0013]","[0.1548, 0.0048]","[0.0472, 0.0019]","[0.04, 0.0015]","[0.0347, 0.0012]","[0.0608, 0.0029]","[0.0218, 0.0007]","[0.0642, 0.0037]","[0.1378, 0.006]","[0.1728, 0.0067]","[0.1979, 0.007]","[0.0909, 0.005]","[0.3007, 0.0081]"
