model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch_rating,epoch_explanation,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
S-E-CDE-VAE,200,0.01,0.0001,1.0,1.0,1.0,,0.0001,300,0,0.3,Adam,"[0.0612, 0.0028]","[0.0556, 0.0023]","[0.0513, 0.002]","[0.0691, 0.0038]","[0.0379, 0.0012]","[0.1685, 0.0049]","[0.0493, 0.0018]","[0.0418, 0.0014]","[0.0368, 0.0012]","[0.0608, 0.0028]","[0.024, 0.0007]","[0.0651, 0.0037]","[0.1511, 0.0062]","[0.1877, 0.0068]","[0.2185, 0.0073]","[0.0953, 0.0051]","[0.3414, 0.0084]"
S-E-CDE-VAE,200,0.01,0.0001,1.0,1.0,1.0,,0.0005,300,0,0.3,Adam,"[0.0518, 0.0026]","[0.0471, 0.0021]","[0.0436, 0.0018]","[0.0584, 0.0035]","[0.0326, 0.0011]","[0.1483, 0.0046]","[0.0415, 0.0017]","[0.0354, 0.0013]","[0.0318, 0.0011]","[0.0516, 0.0026]","[0.0212, 0.0006]","[0.0534, 0.0034]","[0.1304, 0.0059]","[0.1637, 0.0065]","[0.1938, 0.007]","[0.0842, 0.0049]","[0.308, 0.0082]"
S-E-CDE-VAE,200,0.01,0.0001,1.0,1.0,1.0,,0.001,300,0,0.3,Adam,"[0.0466, 0.0024]","[0.0424, 0.002]","[0.0393, 0.0017]","[0.0527, 0.0033]","[0.0294, 0.001]","[0.1351, 0.0044]","[0.0371, 0.0016]","[0.0322, 0.0012]","[0.0286, 0.001]","[0.0461, 0.0024]","[0.0193, 0.0006]","[0.0502, 0.0033]","[0.1177, 0.0057]","[0.1508, 0.0063]","[0.1762, 0.0068]","[0.0754, 0.0046]","[0.2818, 0.0079]"
S-E-CDE-VAE,200,0.01,0.0001,1.0,1.0,1.0,,0.005,300,0,0.3,Adam,"[0.0256, 0.0018]","[0.0236, 0.0015]","[0.0221, 0.0013]","[0.0289, 0.0025]","[0.0171, 0.0008]","[0.079, 0.0035]","[0.021, 0.0012]","[0.0187, 0.001]","[0.017, 0.0008]","[0.0252, 0.0019]","[0.0119, 0.0005]","[0.0274, 0.0026]","[0.0655, 0.0044]","[0.0867, 0.005]","[0.1033, 0.0054]","[0.0402, 0.0035]","[0.1726, 0.0066]"
S-E-CDE-VAE,200,0.01,0.0001,1.0,1.0,1.0,,0.01,300,0,0.3,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
S-E-CDE-VAE,200,0.01,0.0001,1.0,1.0,1.0,,1e-05,300,0,0.3,Adam,"[0.0298, 0.0021]","[0.0276, 0.0017]","[0.0259, 0.0015]","[0.033, 0.0027]","[0.0203, 0.001]","[0.0823, 0.0034]","[0.025, 0.0014]","[0.0219, 0.0012]","[0.02, 0.001]","[0.0304, 0.0021]","[0.0144, 0.0006]","[0.0277, 0.0023]","[0.0634, 0.004]","[0.0828, 0.0046]","[0.0997, 0.0051]","[0.0393, 0.0032]","[0.1774, 0.0065]"
