model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.0001,300,0.4,Adam,"[0.0594, 0.0029]","[0.0535, 0.0024]","[0.0492, 0.0021]","[0.0683, 0.0039]","[0.0359, 0.0013]","[0.1506, 0.0047]","[0.046, 0.0019]","[0.0393, 0.0015]","[0.0345, 0.0013]","[0.0589, 0.0029]","[0.0223, 0.0007]","[0.0596, 0.0035]","[0.1304, 0.0059]","[0.165, 0.0065]","[0.1896, 0.0069]","[0.0863, 0.0048]","[0.2965, 0.008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.0005,300,0.4,Adam,"[0.0584, 0.0028]","[0.052, 0.0023]","[0.0475, 0.002]","[0.0679, 0.0038]","[0.0337, 0.0012]","[0.1467, 0.0048]","[0.0439, 0.0018]","[0.0367, 0.0014]","[0.0321, 0.0012]","[0.0586, 0.0028]","[0.0199, 0.0006]","[0.0617, 0.0036]","[0.1304, 0.0059]","[0.162, 0.0065]","[0.1878, 0.007]","[0.0901, 0.005]","[0.2823, 0.008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.0001,1,,0.001,300,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.0001,300,0.4,Adam,"[0.06, 0.0029]","[0.0539, 0.0024]","[0.0495, 0.0021]","[0.0688, 0.0039]","[0.036, 0.0013]","[0.1509, 0.0047]","[0.0465, 0.0019]","[0.039, 0.0015]","[0.0347, 0.0013]","[0.0598, 0.0029]","[0.0223, 0.0007]","[0.0591, 0.0035]","[0.133, 0.0059]","[0.1641, 0.0064]","[0.1921, 0.0069]","[0.0867, 0.0048]","[0.2986, 0.008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.0005,300,0.4,Adam,"[0.0593, 0.0029]","[0.0529, 0.0023]","[0.0483, 0.002]","[0.0694, 0.0039]","[0.0342, 0.0012]","[0.1482, 0.0048]","[0.0448, 0.0019]","[0.0372, 0.0014]","[0.0329, 0.0012]","[0.0586, 0.0029]","[0.0201, 0.0006]","[0.0631, 0.0037]","[0.1316, 0.0059]","[0.1624, 0.0065]","[0.1909, 0.0069]","[0.0896, 0.005]","[0.2842, 0.008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.001,1,,0.001,300,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.0001,300,0.4,Adam,"[0.0588, 0.0028]","[0.0529, 0.0023]","[0.0487, 0.002]","[0.0673, 0.0038]","[0.0355, 0.0013]","[0.1496, 0.0046]","[0.0457, 0.0019]","[0.0388, 0.0015]","[0.0341, 0.0013]","[0.0588, 0.0029]","[0.0222, 0.0007]","[0.0598, 0.0035]","[0.1299, 0.0058]","[0.164, 0.0065]","[0.1897, 0.0069]","[0.0861, 0.0048]","[0.2971, 0.008]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.0005,300,0.4,Adam,"[0.0567, 0.0028]","[0.0506, 0.0023]","[0.0462, 0.002]","[0.0656, 0.0038]","[0.033, 0.0012]","[0.1424, 0.0047]","[0.0431, 0.0018]","[0.0358, 0.0014]","[0.0316, 0.0012]","[0.0565, 0.0028]","[0.0196, 0.0006]","[0.0578, 0.0035]","[0.1277, 0.0059]","[0.1565, 0.0064]","[0.1836, 0.0069]","[0.0857, 0.0048]","[0.2769, 0.0079]"
CE-VAE,200,0.0001,0.0001,0.0001,0.01,1,,0.001,300,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CE-VAE,200,0.0001,0.0001,0.0001,0.1,1,,0.0001,300,0.4,Adam,"[0.0526, 0.0027]","[0.0477, 0.0022]","[0.0441, 0.0019]","[0.0598, 0.0036]","[0.0326, 0.0012]","[0.1366, 0.0044]","[0.0417, 0.0018]","[0.0357, 0.0014]","[0.0318, 0.0012]","[0.0519, 0.0027]","[0.0207, 0.0007]","[0.0538, 0.0033]","[0.1178, 0.0056]","[0.1479, 0.0061]","[0.1726, 0.0065]","[0.075, 0.0045]","[0.2747, 0.0078]"
CE-VAE,200,0.0001,0.0001,0.0001,0.1,1,,0.0005,300,0.4,Adam,"[0.0485, 0.0026]","[0.0435, 0.0021]","[0.0399, 0.0018]","[0.056, 0.0035]","[0.0288, 0.0011]","[0.1252, 0.0044]","[0.0373, 0.0017]","[0.0314, 0.0013]","[0.0276, 0.0011]","[0.0479, 0.0026]","[0.0176, 0.0006]","[0.05, 0.0033]","[0.1099, 0.0055]","[0.1363, 0.006]","[0.1598, 0.0065]","[0.072, 0.0045]","[0.2475, 0.0077]"
CE-VAE,200,0.0001,0.0001,0.0001,0.1,1,,0.001,300,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CE-VAE,200,0.0001,0.0001,0.0001,1,1,,0.0001,300,0.4,Adam,"[0.0431, 0.0024]","[0.0396, 0.002]","[0.0369, 0.0018]","[0.048, 0.0032]","[0.0279, 0.0011]","[0.116, 0.004]","[0.0355, 0.0017]","[0.0307, 0.0013]","[0.0277, 0.0011]","[0.0433, 0.0025]","[0.0183, 0.0007]","[0.0442, 0.003]","[0.0977, 0.005]","[0.1251, 0.0056]","[0.149, 0.0061]","[0.0614, 0.0041]","[0.2399, 0.0074]"
CE-VAE,200,0.0001,0.0001,0.0001,1,1,,0.0005,300,0.4,Adam,"[0.0449, 0.0025]","[0.0401, 0.002]","[0.0366, 0.0018]","[0.0524, 0.0034]","[0.026, 0.0011]","[0.1103, 0.0042]","[0.0338, 0.0016]","[0.0286, 0.0012]","[0.0248, 0.001]","[0.0448, 0.0025]","[0.0155, 0.0005]","[0.0446, 0.003]","[0.0983, 0.0052]","[0.1227, 0.0057]","[0.1405, 0.0061]","[0.0656, 0.0042]","[0.2137, 0.0073]"
CE-VAE,200,0.0001,0.0001,0.0001,1,1,,0.001,300,0.4,Adam,"[0.0387, 0.0023]","[0.0345, 0.0019]","[0.0316, 0.0017]","[0.0452, 0.0032]","[0.0227, 0.001]","[0.096, 0.004]","[0.0292, 0.0015]","[0.0246, 0.0012]","[0.0217, 0.001]","[0.0379, 0.0023]","[0.0138, 0.0005]","[0.04, 0.003]","[0.0829, 0.0048]","[0.1035, 0.0053]","[0.1199, 0.0057]","[0.0551, 0.0039]","[0.184, 0.0068]"
CE-VAE,200,0.0001,0.0001,0.001,0.0001,1,,0.0001,300,0.4,Adam,"[0.0597, 0.0029]","[0.0537, 0.0024]","[0.0493, 0.0021]","[0.0685, 0.0038]","[0.0359, 0.0013]","[0.1507, 0.0046]","[0.0463, 0.0019]","[0.0391, 0.0015]","[0.0344, 0.0013]","[0.0597, 0.0029]","[0.0224, 0.0007]","[0.0599, 0.0035]","[0.1314, 0.0059]","[0.1637, 0.0065]","[0.1898, 0.0068]","[0.0866, 0.0048]","[0.2983, 0.008]"
CE-VAE,200,0.0001,0.0001,0.001,0.0001,1,,0.0005,300,0.4,Adam,"[0.0583, 0.0028]","[0.0519, 0.0023]","[0.0475, 0.002]","[0.068, 0.0038]","[0.0338, 0.0012]","[0.1471, 0.0048]","[0.0436, 0.0018]","[0.0369, 0.0014]","[0.0323, 0.0012]","[0.0579, 0.0028]","[0.0201, 0.0006]","[0.0628, 0.0037]","[0.1298, 0.0059]","[0.1622, 0.0065]","[0.1883, 0.0069]","[0.0887, 0.0049]","[0.2839, 0.008]"
CE-VAE,200,0.0001,0.0001,0.001,0.0001,1,,0.001,300,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
