model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,200,0.01,,0.0005,300,0.3,Adam,"[0.0505, 0.0027]","[0.0457, 0.0022]","[0.0421, 0.0019]","[0.0578, 0.0036]","[0.0309, 0.0013]","[0.1255, 0.0043]","[0.0397, 0.0018]","[0.0339, 0.0015]","[0.0297, 0.0012]","[0.0505, 0.0027]","[0.0196, 0.0007]","[0.0508, 0.0033]","[0.1082, 0.0054]","[0.1344, 0.0059]","[0.1557, 0.0063]","[0.0703, 0.0043]","[0.2466, 0.0075]"
CDE-VAE,200,0.01,,0.001,300,0.3,Adam,"[0.0521, 0.0027]","[0.0472, 0.0022]","[0.0435, 0.0019]","[0.0594, 0.0036]","[0.0319, 0.0012]","[0.1319, 0.0044]","[0.0411, 0.0018]","[0.0351, 0.0014]","[0.0309, 0.0012]","[0.0514, 0.0027]","[0.0201, 0.0007]","[0.0521, 0.0033]","[0.1147, 0.0055]","[0.1433, 0.0061]","[0.1667, 0.0065]","[0.0726, 0.0044]","[0.2631, 0.0077]"
CDE-VAE,200,0.1,,0.0001,300,0.3,Adam,"[0.009, 0.001]","[0.0091, 0.0009]","[0.0089, 0.0008]","[0.0088, 0.0013]","[0.0079, 0.0005]","[0.0325, 0.0018]","[0.0093, 0.0008]","[0.0089, 0.0007]","[0.0081, 0.0006]","[0.0095, 0.0011]","[0.0065, 0.0004]","[0.0079, 0.0011]","[0.0234, 0.0025]","[0.0336, 0.003]","[0.0405, 0.0033]","[0.0116, 0.0017]","[0.0805, 0.0045]"
CDE-VAE,200,0.1,,0.0005,300,0.3,Adam,"[0.0165, 0.0015]","[0.0152, 0.0013]","[0.0142, 0.0011]","[0.0185, 0.002]","[0.0115, 0.0007]","[0.0474, 0.0025]","[0.0135, 0.0011]","[0.012, 0.0009]","[0.011, 0.0007]","[0.0173, 0.0016]","[0.0088, 0.0005]","[0.0159, 0.0017]","[0.0335, 0.003]","[0.0443, 0.0034]","[0.0541, 0.0038]","[0.0221, 0.0024]","[0.1061, 0.0052]"
CDE-VAE,200,0.1,,0.001,300,0.3,Adam,"[0.0167, 0.0015]","[0.0152, 0.0013]","[0.0143, 0.0011]","[0.0185, 0.002]","[0.0116, 0.0007]","[0.0479, 0.0025]","[0.0136, 0.0011]","[0.0119, 0.0009]","[0.0112, 0.0007]","[0.0176, 0.0016]","[0.0089, 0.0005]","[0.0161, 0.0017]","[0.0337, 0.003]","[0.043, 0.0033]","[0.0541, 0.0038]","[0.0229, 0.0025]","[0.108, 0.0052]"
CDE-VAE,200,1.0,,0.0001,300,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.007, 0.0006]","[0.0064, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0262, 0.0027]","[0.0324, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,200,1.0,,0.0005,300,0.3,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0073, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0055, 0.0003]","[0.007, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0332, 0.003]","[0.0082, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,200,1.0,,0.001,300,0.3,Adam,"[0.0073, 0.0009]","[0.0073, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0067, 0.0005]","[0.0081, 0.001]","[0.0054, 0.0003]","[0.0066, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.034, 0.003]","[0.0094, 0.0015]","[0.0677, 0.0042]"
CDE-VAE,200,10.0,,0.0001,300,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0065, 0.0009]","[0.0186, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0678, 0.0042]"
CDE-VAE,200,10.0,,0.0005,300,0.3,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0069, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0331, 0.003]","[0.0082, 0.0014]","[0.0675, 0.0042]"
CDE-VAE,200,10.0,,0.001,300,0.3,Adam,"[0.0073, 0.0009]","[0.0073, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0269, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0067, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0066, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.0341, 0.003]","[0.0094, 0.0015]","[0.0675, 0.0042]"
CDE-VAE,200,100.0,,0.0001,300,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,200,100.0,,0.0005,300,0.3,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0073, 0.0012]","[0.0064, 0.0005]","[0.0269, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.007, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0333, 0.003]","[0.0082, 0.0014]","[0.0674, 0.0042]"
CDE-VAE,200,100.0,,0.001,300,0.3,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0268, 0.0017]","[0.0075, 0.0007]","[0.0072, 0.0006]","[0.0066, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0067, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.0333, 0.003]","[0.0094, 0.0015]","[0.0671, 0.0042]"
CDE-VAE,200,1000.0,,0.0001,300,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,200,1000.0,,0.0005,300,0.3,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.0269, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.007, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0333, 0.003]","[0.0082, 0.0014]","[0.0675, 0.0042]"
CDE-VAE,200,1000.0,,0.001,300,0.3,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.0268, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0068, 0.0005]","[0.0074, 0.001]","[0.0053, 0.0003]","[0.0068, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.0347, 0.003]","[0.0081, 0.0014]","[0.0671, 0.0042]"
CDE-VAE,200,10000.0,,0.0001,300,0.3,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,200,10000.0,,0.0005,300,0.3,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0073, 0.0012]","[0.0064, 0.0005]","[0.0269, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.007, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0333, 0.003]","[0.0081, 0.0014]","[0.0675, 0.0042]"
CDE-VAE,200,10000.0,,0.001,300,0.3,Adam,"[0.0073, 0.0009]","[0.0073, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0268, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0068, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0066, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.0347, 0.003]","[0.0094, 0.0015]","[0.0671, 0.0042]"
