model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,100,1e-05,,0.0001,300,0.4,Adam,"[0.0542, 0.0027]","[0.0489, 0.0023]","[0.045, 0.002]","[0.0619, 0.0037]","[0.0328, 0.0012]","[0.1363, 0.0045]","[0.0425, 0.0018]","[0.036, 0.0014]","[0.0317, 0.0012]","[0.0537, 0.0027]","[0.0206, 0.0007]","[0.055, 0.0034]","[0.1201, 0.0056]","[0.1493, 0.0061]","[0.1724, 0.0066]","[0.0777, 0.0046]","[0.2677, 0.0078]"
CDE-VAE,100,1e-05,,0.0005,300,0.4,Adam,"[0.0478, 0.0026]","[0.043, 0.0022]","[0.0396, 0.0019]","[0.0553, 0.0035]","[0.0289, 0.0012]","[0.1185, 0.0043]","[0.0368, 0.0018]","[0.0315, 0.0014]","[0.0279, 0.0012]","[0.0472, 0.0026]","[0.0182, 0.0007]","[0.0484, 0.0032]","[0.0986, 0.0052]","[0.1238, 0.0058]","[0.1447, 0.0062]","[0.0648, 0.0042]","[0.232, 0.0074]"
CDE-VAE,100,1e-05,,0.001,300,0.4,Adam,"[0.0048, 0.0007]","[0.005, 0.0006]","[0.0051, 0.0006]","[0.0044, 0.0009]","[0.0053, 0.0004]","[0.0232, 0.0015]","[0.0053, 0.0006]","[0.0054, 0.0005]","[0.0056, 0.0005]","[0.0048, 0.0008]","[0.0049, 0.0003]","[0.0047, 0.0008]","[0.0131, 0.0018]","[0.0204, 0.0023]","[0.0273, 0.0026]","[0.0058, 0.0012]","[0.0615, 0.004]"
CDE-VAE,100,0.0001,,0.0001,300,0.4,Adam,"[0.0537, 0.0027]","[0.0487, 0.0022]","[0.0449, 0.002]","[0.061, 0.0036]","[0.0331, 0.0013]","[0.1373, 0.0045]","[0.0427, 0.0018]","[0.0361, 0.0015]","[0.0321, 0.0012]","[0.0534, 0.0028]","[0.0209, 0.0007]","[0.0554, 0.0034]","[0.1201, 0.0056]","[0.1486, 0.0061]","[0.1738, 0.0066]","[0.0771, 0.0046]","[0.2724, 0.0078]"
CDE-VAE,100,0.0001,,0.0005,300,0.4,Adam,"[0.0488, 0.0026]","[0.044, 0.0022]","[0.0405, 0.0019]","[0.0562, 0.0035]","[0.0297, 0.0012]","[0.1209, 0.0043]","[0.0379, 0.0018]","[0.0324, 0.0014]","[0.0287, 0.0012]","[0.0486, 0.0027]","[0.0186, 0.0007]","[0.0498, 0.0032]","[0.0997, 0.0052]","[0.1248, 0.0057]","[0.1479, 0.0062]","[0.0651, 0.0041]","[0.2402, 0.0075]"
CDE-VAE,100,0.0001,,0.001,300,0.4,Adam,"[0.0066, 0.0009]","[0.0065, 0.0007]","[0.0064, 0.0007]","[0.0064, 0.0011]","[0.0058, 0.0004]","[0.0253, 0.0016]","[0.0065, 0.0007]","[0.0061, 0.0005]","[0.0058, 0.0005]","[0.0068, 0.001]","[0.005, 0.0003]","[0.0061, 0.001]","[0.016, 0.002]","[0.0228, 0.0024]","[0.0286, 0.0027]","[0.0077, 0.0013]","[0.0656, 0.0042]"
CDE-VAE,100,0.001,,0.0001,300,0.4,Adam,"[0.0559, 0.0028]","[0.0502, 0.0023]","[0.0462, 0.002]","[0.0643, 0.0038]","[0.0336, 0.0013]","[0.1375, 0.0045]","[0.0432, 0.0019]","[0.0367, 0.0015]","[0.0324, 0.0013]","[0.055, 0.0028]","[0.0209, 0.0008]","[0.0561, 0.0034]","[0.1193, 0.0056]","[0.1498, 0.0062]","[0.1755, 0.0067]","[0.0784, 0.0046]","[0.2663, 0.0078]"
CDE-VAE,100,0.001,,0.0005,300,0.4,Adam,"[0.05, 0.0027]","[0.0452, 0.0022]","[0.0416, 0.002]","[0.0574, 0.0036]","[0.0306, 0.0012]","[0.1256, 0.0044]","[0.0391, 0.0018]","[0.0337, 0.0015]","[0.0295, 0.0012]","[0.0499, 0.0027]","[0.0194, 0.0007]","[0.0503, 0.0032]","[0.1056, 0.0053]","[0.1326, 0.0059]","[0.1538, 0.0063]","[0.0687, 0.0043]","[0.2497, 0.0077]"
CDE-VAE,100,0.001,,0.001,300,0.4,Adam,"[0.001, 0.0003]","[0.0009, 0.0003]","[0.0009, 0.0002]","[0.0011, 0.0005]","[0.0008, 0.0002]","[0.0035, 0.0006]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.0008, 0.0002]","[0.001, 0.0003]","[0.0007, 0.0001]","[0.0009, 0.0004]","[0.0016, 0.0006]","[0.0027, 0.0008]","[0.0035, 0.0009]","[0.0011, 0.0005]","[0.009, 0.0015]"
CDE-VAE,100,0.01,,0.0001,300,0.4,Adam,"[0.0348, 0.0022]","[0.0322, 0.0019]","[0.0301, 0.0016]","[0.0385, 0.0029]","[0.0235, 0.0011]","[0.0971, 0.0036]","[0.029, 0.0016]","[0.0255, 0.0013]","[0.0231, 0.0011]","[0.0345, 0.0023]","[0.0164, 0.0007]","[0.034, 0.0026]","[0.077, 0.0045]","[0.0995, 0.0051]","[0.1192, 0.0055]","[0.0474, 0.0036]","[0.2082, 0.0069]"
CDE-VAE,100,0.01,,0.0005,300,0.4,Adam,"[0.0391, 0.0023]","[0.0357, 0.0019]","[0.0333, 0.0017]","[0.0444, 0.0031]","[0.0253, 0.0011]","[0.1035, 0.0038]","[0.0315, 0.0016]","[0.0275, 0.0013]","[0.0248, 0.0011]","[0.039, 0.0024]","[0.017, 0.0007]","[0.0395, 0.0028]","[0.0843, 0.0047]","[0.1079, 0.0052]","[0.1288, 0.0057]","[0.0535, 0.0038]","[0.2127, 0.0071]"
CDE-VAE,100,0.01,,0.001,300,0.4,Adam,"[0.0423, 0.0024]","[0.0388, 0.002]","[0.0361, 0.0018]","[0.0477, 0.0033]","[0.0273, 0.0011]","[0.1132, 0.004]","[0.0344, 0.0017]","[0.0302, 0.0013]","[0.0268, 0.0011]","[0.042, 0.0025]","[0.0182, 0.0007]","[0.0417, 0.0029]","[0.0949, 0.005]","[0.1244, 0.0057]","[0.1451, 0.006]","[0.0576, 0.0039]","[0.2337, 0.0073]"
CDE-VAE,100,0.1,,0.0001,300,0.4,Adam,"[0.0081, 0.001]","[0.0083, 0.0009]","[0.0082, 0.0008]","[0.0078, 0.0013]","[0.0074, 0.0005]","[0.0306, 0.0018]","[0.0085, 0.0008]","[0.0082, 0.0007]","[0.0078, 0.0006]","[0.0081, 0.0011]","[0.0063, 0.0004]","[0.0069, 0.001]","[0.0209, 0.0023]","[0.0305, 0.0029]","[0.039, 0.0032]","[0.0088, 0.0014]","[0.0767, 0.0044]"
CDE-VAE,100,0.1,,0.0005,300,0.4,Adam,"[0.0099, 0.0011]","[0.0099, 0.0009]","[0.0096, 0.0008]","[0.0099, 0.0014]","[0.0084, 0.0006]","[0.0347, 0.0019]","[0.01, 0.0009]","[0.0093, 0.0007]","[0.0086, 0.0006]","[0.0105, 0.0012]","[0.0069, 0.0004]","[0.0092, 0.0012]","[0.0251, 0.0026]","[0.0351, 0.0031]","[0.0431, 0.0034]","[0.0132, 0.0018]","[0.0847, 0.0047]"
CDE-VAE,100,0.1,,0.001,300,0.4,Adam,"[0.0111, 0.0011]","[0.0108, 0.001]","[0.0103, 0.0009]","[0.0111, 0.0014]","[0.0089, 0.0006]","[0.037, 0.002]","[0.0108, 0.0009]","[0.0095, 0.0007]","[0.0087, 0.0006]","[0.0119, 0.0013]","[0.0073, 0.0004]","[0.0107, 0.0013]","[0.0279, 0.0027]","[0.0354, 0.003]","[0.0421, 0.0033]","[0.015, 0.0019]","[0.0899, 0.0048]"
CDE-VAE,100,1.0,,0.0001,300,0.4,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,100,1.0,,0.0005,300,0.4,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0075, 0.0007]","[0.0074, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0055, 0.0003]","[0.0064, 0.0009]","[0.0181, 0.0022]","[0.0282, 0.0028]","[0.0331, 0.003]","[0.0081, 0.0014]","[0.068, 0.0042]"
CDE-VAE,100,1.0,,0.001,300,0.4,Adam,"[0.0073, 0.0009]","[0.0073, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0269, 0.0017]","[0.0074, 0.0007]","[0.0072, 0.0006]","[0.0067, 0.0005]","[0.008, 0.001]","[0.0053, 0.0003]","[0.0066, 0.001]","[0.0178, 0.0021]","[0.0276, 0.0027]","[0.034, 0.003]","[0.0093, 0.0015]","[0.0675, 0.0042]"
CDE-VAE,100,10.0,,0.0001,300,0.4,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.0327, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,100,10.0,,0.0005,300,0.4,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0069, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0331, 0.003]","[0.0082, 0.0014]","[0.0676, 0.0042]"
CDE-VAE,100,10.0,,0.001,300,0.4,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0268, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0067, 0.0005]","[0.008, 0.001]","[0.0053, 0.0003]","[0.0067, 0.001]","[0.0178, 0.0021]","[0.0282, 0.0028]","[0.0341, 0.003]","[0.0093, 0.0015]","[0.0674, 0.0042]"
CDE-VAE,100,100.0,,0.0001,300,0.4,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0678, 0.0042]"
CDE-VAE,100,100.0,,0.0005,300,0.4,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0072, 0.0012]","[0.0064, 0.0005]","[0.027, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0069, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0333, 0.003]","[0.0082, 0.0014]","[0.0678, 0.0042]"
CDE-VAE,100,100.0,,0.001,300,0.4,Adam,"[0.0073, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0071, 0.0012]","[0.0064, 0.0005]","[0.0268, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0065, 0.0005]","[0.0081, 0.001]","[0.0053, 0.0003]","[0.0067, 0.001]","[0.0178, 0.0021]","[0.0282, 0.0028]","[0.0331, 0.003]","[0.0094, 0.0015]","[0.0671, 0.0042]"
CDE-VAE,100,1000.0,,0.0001,300,0.4,Adam,"[0.0072, 0.0009]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0012]","[0.0064, 0.0005]","[0.0267, 0.0016]","[0.0077, 0.0008]","[0.0072, 0.0006]","[0.0065, 0.0005]","[0.0075, 0.001]","[0.0054, 0.0003]","[0.0064, 0.0009]","[0.0185, 0.0022]","[0.0272, 0.0027]","[0.033, 0.003]","[0.0081, 0.0014]","[0.0679, 0.0042]"
CDE-VAE,100,1000.0,,0.0005,300,0.4,Adam,"[0.0074, 0.0009]","[0.0074, 0.0008]","[0.0072, 0.0007]","[0.0073, 0.0012]","[0.0064, 0.0005]","[0.0271, 0.0017]","[0.0075, 0.0007]","[0.0073, 0.0006]","[0.0066, 0.0005]","[0.0075, 0.001]","[0.0055, 0.0003]","[0.007, 0.001]","[0.018, 0.0022]","[0.0278, 0.0027]","[0.0331, 0.003]","[0.0082, 0.0014]","[0.0681, 0.0042]"
