F-MAP@10,F-MAP@20,F-MAP@5,model
0.0,0.0,0.0,CE-VNCF
0.01,-0.003703007518797,0.0,CE-VNCF
0.01904761904761909,0.03220260432721722,0.0666666666666666,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.1836111111111111,-0.09635101010101008,-0.30000000000000004,CE-VNCF
-0.014285714285714284,-0.007142857142857131,0.0,CE-VNCF
0.0,0.006066176470588242,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.00999999999999998,0.02112970362970365,0.0,CE-VNCF
0.0,0.007417582417582422,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.03361111111111111,0.029363830613830626,0.0,CE-VNCF
-0.014285714285714284,-0.0006845238095238014,0.0,CE-VNCF
0.0,0.017308866529067934,0.0,CE-VNCF
0.03333333333333334,0.016666666666666663,0.06666666666666665,CE-VNCF
-0.08845238095238084,-0.040654761904761916,-0.09000000000000002,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,-0.028893115613316856,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.054166666666666696,-0.02039946680426563,-0.09999999999999998,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.08333333333333337,0.006707374582761716,0.16666666666666666,CE-VNCF
0.011111111111111113,0.005555555555555557,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.138452380952381,0.08070172367192491,0.15666666666666665,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,-0.006904761904761905,0.0,CE-VNCF
0.0,0.024726448946650187,0.0,CE-VNCF
0.1592857142857143,0.09755221386800317,0.2566666666666667,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.08456349206349204,-0.06174478299478301,-0.040000000000000015,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.10444444444444434,0.057740294835883166,0.16666666666666669,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.010000000000000007,0.05931886525926766,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.2352380952380953,0.16917450089470226,0.19000000000000006,CE-VNCF
0.04999999999999999,0.02499999999999997,0.1,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.027817840699032592,0.0,CE-VNCF
-0.006388888888888944,0.0013510101010101305,-0.06000000000000005,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.06428571428571436,0.03640167430608604,0.1,CE-VNCF
0.012499999999999956,0.02293386652906781,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.06638888888888889,0.025664682539682515,0.2,CE-VNCF
0.01999999999999999,0.017417582417582428,0.04,CE-VNCF
0.0,-0.0025,0.0,CE-VNCF
0.0017857142857141683,0.0283687146187146,-0.08333333333333337,CE-VNCF
0.0,-0.01065656565656592,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,-0.017198079698079703,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.10928571428571432,0.08162309396829526,0.15666666666666662,CE-VNCF
-0.061666666666666675,-0.030833333333333338,-0.09,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,-0.0031249999999999997,0.0,CE-VNCF
0.0,-0.005131578947368421,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.008012820512820373,0.0,CE-VNCF
-0.021111111111111112,-0.05221447261888439,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.044841269841269904,-0.01836268414248288,-0.08333333333333331,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.08845238095238095,0.07491535210575456,0.09,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.02111111111111119,0.018464912280701684,0.0,CE-VNCF
0.0323809523809524,0.04272428444448567,0.1266666666666666,CE-VNCF
0.0,0.020880295100496604,0.0,CE-VNCF
0.0,-0.0334385701587714,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.18678571428571414,0.112267126148705,0.29999999999999993,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.135,-0.14450651966712347,-0.2499999999999999,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.04789682539682527,0.06072031619051733,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0173088665290676,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.09138888888888896,-0.008550413080211539,-0.19666666666666666,CE-VNCF
0.0,-0.0025,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.03317460317460319,-0.0032229575979575986,0.06666666666666665,CE-VNCF
0.0,-0.020880295100496337,0.0,CE-VNCF
0.07761904761904763,0.06493397533838705,0.04,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.03749999999999998,-0.022596153846153818,-0.1,CE-VNCF
-0.012499999999999956,-0.01270833333333332,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.05472222222222217,0.0913570098632016,0.0,CE-VNCF
-0.01999999999999999,-0.009999999999999995,-0.04,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.3838492063492064,0.2532146222800247,0.5566666666666666,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.18361111111111106,-0.12488253769794012,-0.29999999999999993,CE-VNCF
0.2848412698412699,0.17349989772009902,0.3733333333333333,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,-0.012558275058274893,0.0,CE-VNCF
0.01000000000000012,-0.011329588454201513,0.0,CE-VNCF
0.020000000000000004,0.037823079698079735,0.04,CE-VNCF
0.0645634920634921,0.051744782994783016,0.0,CE-VNCF
-0.01083333333333336,0.02005235777294601,-0.06666666666666654,CE-VNCF
-0.2574603174603175,-0.213649881465284,-0.2566666666666667,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.05833333333333346,0.02532051282051273,0.1166666666666666,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,-0.0045454545454545435,0.0,CE-VNCF
0.08567460317460318,0.04738275613275614,0.0,CE-VNCF
0.03666666666666663,-8.803696303694153e-05,0.040000000000000015,CE-VNCF
0.07345238095238099,0.06311930608950744,0.040000000000000036,CE-VNCF
0.07511904761904764,0.06228597275617409,0.1166666666666667,CE-VNCF
0.0,0.0255292134336252,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.018042582417582432,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.022226448946650188,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.11801587301587302,-0.008853538317547593,-0.040000000000000015,CE-VNCF
0.0,-0.006343954248366011,0.0,CE-VNCF
0.016666666666666673,0.010833333333333334,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.0125,0.024416298570710343,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.029722222222222205,-0.01630688240208367,-0.12666666666666665,CE-VNCF
0.0,-0.01730886652906776,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0325,0.01412959482038434,0.04,CE-VNCF
0.03361111111111112,0.02648258904837851,0.0,CE-VNCF
-0.0125,-0.0062499999999999995,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.016666666666666833,0.040722926883917536,0.0,CE-VNCF
-0.08456349206349206,-0.08362967291566363,-0.04,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.021111111111111136,-0.01125485625485628,0.0,CE-VNCF
0.0,-0.0031249999999999997,0.0,CE-VNCF
0.06456349206349232,0.08972561129101386,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.20218253968253969,0.0994021512113618,0.2466666666666667,CE-VNCF
0.0,-0.022226448946650188,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.04499999999999993,-0.02249999999999996,-0.09000000000000008,CE-VNCF
-0.02500000000000001,-0.015240294835883073,-0.05,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.016666666666666673,0.03649273305813554,0.0,CE-VNCF
-0.09678571428571432,-0.051377164502164535,-0.10666666666666666,CE-VNCF
0.0,0.03163121085141185,0.0,CE-VNCF
0.0,0.03010523682543805,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.04345238095238097,0.01568313115333242,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0031249999999999997,0.0,CE-VNCF
-0.01,-0.038438570158771404,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.018243464052287574,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.028893115613316856,0.0,CE-VNCF
0.016666666666666833,0.033159399724802315,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.013333333333333308,0.04676278979878068,0.026666666666666502,CE-VNCF
0.0,-0.0025,0.0,CE-VNCF
0.0,0.021884889920880668,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,-0.0029411764705882327,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.01397553319573443,0.0,CE-VNCF
-0.08361111111111103,-0.03316912769892655,-0.09999999999999998,CE-VNCF
-0.07333333333333332,-0.0440842490842491,-0.16666666666666666,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.08333333333333326,-0.050510620915032695,-0.2,CE-VNCF
-0.005714285714285672,0.029616515020926826,-0.03999999999999995,CE-VNCF
0.07499999999999996,0.0255689245395127,0.15000000000000002,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.04999999999999996,-0.02500000000000005,-0.1,CE-VNCF
0.006785714285714285,-0.007358058608058605,-0.04,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.02499999999999997,-0.017631578947368443,-0.04999999999999999,CE-VNCF
0.0,0.0,0.0,CE-VNCF
-0.0125,-0.0062499999999999995,0.0,CE-VNCF
0.2817857142857143,0.15345113220113205,0.4566666666666666,CE-VNCF
0.08456349206349206,0.07929174476194603,0.04,CE-VNCF
0.0,-0.020880295100496337,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.0,0.0,0.0,CE-VNCF
0.030952380952380894,0.015476190476190447,0.0,CE-VNCF
