model,F-MAP@5,F-MAP@10,F-MAP@20
CE-VNCF,0.0,-0.022500000000000075,0.024540978672170418
CE-VNCF,0.0,0.0,0.012076023391812863
CE-VNCF,-0.3566666666666667,-0.1783333333333333,-0.09717728758169923
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.012146718735341032
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.01397553319573443
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.05,-0.02500000000000001,-0.012500000000000013
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,-0.0025000000000000022
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.20666666666666667,0.07793650793650789,0.0563108857516752
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.007107843137254877
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,-0.00627450980392158
CE-VNCF,0.09,0.11940476190476187,0.06376558383137329
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,-0.002385620915032693
CE-VNCF,-0.21666666666666665,-0.1194444444444444,-0.05746843434343435
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.012500000000000068,0.0030310457516340428
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,-0.005131578947368421
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.021921961767163045
CE-VNCF,0.0,0.0,0.002941176470588225
CE-VNCF,0.0,0.0,0.01730886652906776
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.03361111111111111,0.032935259185259184
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0068253968253969574,0.004833152958152898
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.009999999999999952,-0.014677033492823009
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.008012820512820519
CE-VNCF,0.0,0.021111111111111112,0.042576867576867586
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.06666666666666671,0.08123015873015871,0.08386251605291861
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.040000000000000036,0.01999999999999991,0.04641982501502629
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.005409356725146197
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.15000000000000002,-0.010436507936507857,0.00578553391053388
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.024726448946650187
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.040000000000000036,-0.01999999999999991,-0.014545454545454528
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.09000000000000008,-0.05166666666666675,-0.013716234745646538
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.09000000000000008,0.10956349206349204,0.054781746031746126
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,-0.040000000000000036,-0.01999999999999991,-0.014545454545454528
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.021111111111111112,0.01055555555555556
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.012500000000000013,0.01914598774118897
CE-VNCF,-0.05,-0.035,-0.03696303696303693
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.20000000000000007,0.09999999999999998,0.049999999999999815
CE-VNCF,0.040000000000000036,0.049166666666666636,0.01987327730748789
CE-VNCF,0.0,0.0,0.0173088665290676
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.00999999999999998,0.015029761904761909
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.003711124401913957
CE-VNCF,0.0,-0.016666666666666833,-0.008333333333333416
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,-0.03361111111111111,-0.0329352591852592
CE-VNCF,0.0,0.0,0.004166666666666653
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
CE-VNCF,0.0,0.0,0.0
