User,Time,Energy
2732,1,7.786184102296829
2732,2,7.849192086607218
2732,3,7.871030203998089
2732,4,7.807892069220543
2732,5,7.762145422399044
2607,1,13.388219729065895
2607,2,13.290836989879608
2607,3,13.240319833159447
2607,4,13.300259381532669
2607,5,13.439627714455128
1653,1,9.526522064581513
1653,2,9.522158600389957
1653,3,9.546854130923748
1653,4,9.537165932357311
1653,5,9.572132140398026
3264,1,10.254017205908895
3264,2,10.183573533780873
3264,3,10.168570361100137
3264,4,10.154601107351482
3264,5,10.12502050679177
4931,1,9.547513458877802
4931,2,9.422831067815423
4931,3,9.353650353848934
4931,4,9.40462208725512
4931,5,9.464181032031775
4859,1,9.464379154145718
4859,2,9.489524325355887
4859,3,9.559684816747904
4859,4,9.561174584552646
4859,5,9.601828714832664
5827,1,11.899070041254163
5827,2,11.745507890358567
5827,3,11.724450044333935
5827,4,11.68276484310627
5827,5,11.593712951987982
1033,1,11.543352941051126
1033,2,11.551926612854004
1033,3,11.587800838053226
1033,4,11.63602675870061
1033,5,11.600003436207771
4373,1,6.637555185705423
4373,2,6.730046380311251
4373,3,6.7950112745165825
4373,4,6.78471951559186
4373,5,6.778566434979439
5874,1,9.210196953266859
5874,2,9.16589333023876
5874,3,9.039222408086061
5874,4,9.019224335439503
5874,5,8.99643568880856
5924,1,11.446003129705787
5924,2,11.319051064550877
5924,3,11.335508259013295
5924,4,11.418058399111032
5924,5,11.511057648807764
3468,1,28.409653678536415
3468,2,27.715198198333383
3468,3,27.48813945055008
3468,4,27.462798945605755
3468,5,27.831606224179268
705,1,12.464243594557047
705,2,12.373171243816614
705,3,12.431060012429953
705,4,12.455533035099506
705,5,12.42024029046297
2599,1,27.586037173867226
2599,2,27.069433271884918
2599,3,26.92401698231697
2599,4,26.689320355653763
2599,5,26.79909786581993
2135,1,12.791378263384104
2135,2,12.792914658784866
2135,3,12.764666341245174
2135,4,12.733568284660578
2135,5,12.765782330185175
2222,1,15.513394437730312
2222,2,15.370166651904583
2222,3,15.217159479856491
2222,4,15.088121272623539
2222,5,15.019889891147614
2897,1,12.000306371599436
2897,2,11.954911082983017
2897,3,11.99898026138544
2897,4,11.93395458906889
2897,5,11.860712096095085
1701,1,3.462594313081354
1701,2,3.6010113819502294
1701,3,3.6719338721595705
1701,4,3.6877163806930184
1701,5,3.6966248806566
537,1,6.412757806945592
537,2,6.438931440934539
537,3,6.489857689011842
537,4,6.563212253153324
537,5,6.560160120949149
2893,1,6.151199331507087
2893,2,6.180544838309288
2893,3,6.115727687254548
2893,4,6.065686037763953
2893,5,6.096451407298446
6036,1,9.751479176804423
6036,2,9.698446091264486
6036,3,9.626279219985008
6036,4,9.580481588840485
6036,5,9.553047768771648
2163,1,7.711878772825003
2163,2,7.813285367563367
2163,3,7.897043915465474
2163,4,7.916484693065286
2163,5,7.946793391369283
5072,1,10.302247323095798
5072,2,10.152000630274415
5072,3,10.034048628993332
5072,4,9.934277892112732
5072,5,9.941272933036089
4851,1,10.367735477164388
4851,2,10.42860665358603
4851,3,10.419262617826462
4851,4,10.386800410225987
4851,5,10.41326809860766
2046,1,10.5964311696589
2046,2,10.552273701876402
2046,3,10.467782463878393
2046,4,10.327401421964169
2046,5,10.299823325127363
1871,1,18.627719461917877
1871,2,18.575737439095974
1871,3,18.622311487793922
1871,4,18.7166660875082
1871,5,18.834292255342007
2496,1,13.493393391370773
2496,2,13.351584028452635
2496,3,13.38155860453844
2496,4,13.306211322546005
2496,5,13.323785796761513
99,1,9.767184262163937
99,2,9.813183944672346
99,3,9.857712720520794
99,4,9.875377845019102
99,5,9.862788008525968
2008,1,14.573670491576195
2008,2,14.631233350373805
2008,3,14.592452831566334
2008,4,14.622041568160057
2008,5,14.56018304079771
755,1,19.43606487289071
755,2,19.036955770105124
755,3,18.815715614706278
755,4,18.71133042499423
755,5,18.70362811535597
797,1,22.190279059112072
797,2,21.717795588076115
797,3,21.54109278321266
797,4,21.566895043477416
797,5,21.6316524092108
659,1,10.561332739889622
659,2,10.554177459329367
659,3,10.505472637712955
659,4,10.466587666422129
659,5,10.515086153522134
3219,1,9.309789308346808
3219,2,9.394018471706659
3219,3,9.420538845006377
3219,4,9.546383572742343
3219,5,9.569605927914381
423,1,7.622599074617028
423,2,7.673815466463566
423,3,7.602658635005355
423,4,7.600758017972112
423,5,7.581857964396477
3337,1,14.610075704753399
3337,2,14.680118601769209
3337,3,14.597203973680735
3337,4,14.490238312631845
3337,5,14.397544134408236
2745,1,37.512535482645035
2745,2,36.25700205564499
2745,3,36.03185546398163
2745,4,36.11507934331894
2745,5,36.41277214884758
4735,1,8.391403447836637
4735,2,8.45522078871727
4735,3,8.416664149612188
4735,4,8.352132253348827
4735,5,8.335322998464108
544,1,7.214536543935537
544,2,7.323589999228716
544,3,7.379870750010014
544,4,7.3958735801279545
544,5,7.385125229135156
714,1,6.7947519943118095
714,2,6.748352178372443
714,3,6.692091071046889
714,4,6.65313224773854
714,5,6.726464532315731
2292,1,8.329162603709847
2292,2,8.395702892914414
2292,3,8.461844369769096
2292,4,8.440643696114421
2292,5,8.425998071208596
151,1,9.226207545027137
151,2,9.204153657890856
151,3,9.089553959667683
151,4,9.043394390493631
151,5,8.990899823606014
2723,1,15.915367487818003
2723,2,15.797471649944782
2723,3,15.654714934527874
2723,4,15.687963247299194
2723,5,15.759757794439793
3531,1,13.304667197167873
3531,2,13.302622068673372
3531,3,13.323532097041607
3531,4,13.316122507676482
3531,5,13.248881936073303
2930,1,12.635723585262895
2930,2,12.470385061576962
2930,3,12.412020912393928
2930,4,12.423331996425986
2930,5,12.327886819839478
1207,1,37.84755249321461
1207,2,36.663170337677
1207,3,36.025437861680984
1207,4,35.933059602975845
1207,5,35.702259838581085
802,1,9.558645483106375
802,2,9.497745927423239
802,3,9.54049413651228
802,4,9.534310847520828
802,5,9.53030925616622
2176,1,8.019902884960175
2176,2,8.02011127024889
2176,3,8.016110338270664
2176,4,7.91409258171916
2176,5,7.783294700086117
2176,1,8.019902884960175
2176,2,8.09017438068986
2176,3,8.156595755368471
2176,4,8.121940910816193
2176,5,8.094904322177172
1956,1,14.999526958912611
1956,2,14.877745147794485
1956,3,14.891265705227852
1956,4,14.858423165977001
1956,5,14.893139824271202
6021,1,6.38586550205946
6021,2,6.461753628216684
6021,3,6.468773919157684
6021,4,6.476835693232715
6021,5,6.514152482151985
3622,1,10.07874327711761
3622,2,10.032961968332529
3622,3,9.909226339310408
3622,4,9.880843564867973
3622,5,9.913529809564352
3560,1,12.31508605927229
3560,2,12.166944153606892
3560,3,12.12795927003026
3560,4,12.172131605446339
3560,5,12.175245352089405
756,1,12.044749554246664
756,2,11.947462234646082
756,3,11.87998764961958
756,4,11.778087966144085
756,5,11.695579648017883
4369,1,8.634079568088055
4369,2,8.631630226969719
4369,3,8.648434543982148
4369,4,8.667244562879205
4369,5,8.725246652960777
4484,1,9.935948358848691
4484,2,9.985674353316426
4484,3,9.996843269560486
4484,4,9.998674534261227
4484,5,10.042029736563563
1641,1,13.218501348048449
1641,2,13.097589414566755
1641,3,13.130981780588627
1641,4,13.204727165400982
1641,5,13.252989880740643
3114,1,8.753166284412146
3114,2,8.702695861458778
3114,3,8.740922447293997
3114,4,8.755652647465467
3114,5,8.720220886170864
5562,1,8.289236899465322
5562,2,8.257945166900754
5562,3,8.309311816468835
5562,4,8.305952969938517
5562,5,8.347117843106389
4984,1,24.516054913401604
4984,2,24.29728701710701
4984,3,24.106024637818336
4984,4,23.98727871477604
4984,5,23.852185264229774
4353,1,11.846648768521845
4353,2,11.821521028876305
4353,3,11.811631057411432
4353,4,11.860788181424141
4353,5,11.864787582308054
5441,1,7.228661100380123
5441,2,7.272194400429726
5441,3,7.318602738901973
5441,4,7.311314142309129
5441,5,7.183937344700098
4071,1,11.683070529688848
4071,2,11.469614980742335
4071,3,11.342515097931027
4071,4,11.338406385853887
4071,5,11.435268424451351
4009,1,13.285096384584904
4009,2,13.167975537478924
4009,3,13.054149402305484
4009,4,12.894104121252894
4009,5,12.798924826085567
2105,1,7.0560112753883
2105,2,7.100648566149175
2105,3,7.108818132430315
2105,4,7.157917549833655
2105,5,7.152772506698966
3942,1,8.372433431446552
3942,2,8.434454714879394
3942,3,8.459816373884678
3942,4,8.445331111550331
3942,5,8.408467082306743
3191,1,11.082217738032341
3191,2,11.031316910404712
3191,3,10.924160369177116
3191,4,10.862782200798392
3191,5,10.708674512803555
430,1,11.415667295455933
430,2,11.401373639702797
430,3,11.437544040381908
430,4,11.526468694210052
430,5,11.485956497490406
4187,1,8.182434039190412
4187,2,8.26963784918189
4187,3,8.282499682158232
4187,4,8.259683094918728
4187,5,8.233271840959787
6016,1,7.116679694503546
6016,2,7.112591627985239
6016,3,7.182382988743484
6016,4,7.2145979651249945
6016,5,7.259397274348885
2446,1,7.642419517040253
2446,2,7.681000057607889
2446,3,7.575109349563718
2446,4,7.471330152824521
2446,5,7.456281892955303
2659,1,10.270776640623808
2659,2,10.75178075581789
2659,3,10.78214349411428
2659,4,10.584382658824325
2659,5,10.414034254848957
1589,1,9.690735999494791
1589,2,9.686426017433405
1589,3,9.741403255611658
1589,4,9.661968674510717
1589,5,9.708159651607275
2956,1,14.554954998195171
2956,2,14.481048472225666
2956,3,14.34042201936245
2956,4,14.25524915009737
2956,5,14.201122030615807
2681,1,17.694484926760197
2681,2,17.476123746484518
2681,3,17.546859432011843
2681,4,17.54315551556647
2681,5,17.589647827669978
4180,1,11.171746656298637
4180,2,11.175449453294277
4180,3,11.24469780176878
4180,4,11.214183520525694
4180,5,11.0589818097651
2251,1,7.956478219944984
2251,2,7.925100021529943
2251,3,7.997452741954476
2251,4,8.02877431223169
2251,5,8.004339972510934
4420,1,12.35557690821588
4420,2,12.230645744130015
4420,3,12.174082919955254
4420,4,12.036470290273428
4420,5,12.069323720410466
4870,1,9.239873208105564
4870,2,9.276170141994953
4870,3,9.224775150418282
4870,4,9.259495098143816
4870,5,9.191345842555165
1071,1,7.461141737177968
1071,2,7.555320197716355
1071,3,7.6137231308966875
1071,4,7.475731626152992
1071,5,7.35892298258841
4735,1,8.391403447836637
4735,2,8.411246448755264
4735,3,8.343608688563108
4735,4,8.333853414282203
4735,5,8.31398765835911
5251,1,7.514341587200761
5251,2,7.565724611282349
5251,3,7.485104609280825
5251,4,7.492335880175233
5251,5,7.483597846701741
5068,1,9.276542101055384
5068,2,9.230785712599754
5068,3,9.192404236644506
5068,4,9.15493480861187
5068,5,9.115815196186304
1204,1,8.311412142589688
1204,2,8.196016106754541
1204,3,8.023519296199083
1204,4,7.9982671570032835
1204,5,8.08096705749631
3918,1,16.69474894925952
3918,2,16.461420096457005
3918,3,16.45331309735775
3918,4,16.46364463120699
3918,5,16.380923472344875
1167,1,12.491716925054789
1167,2,12.367826659232378
1167,3,12.283781422302127
1167,4,12.22153334878385
1167,5,12.128249113447964
1684,1,16.527659764513373
1684,2,16.48928439617157
1684,3,16.377850212156773
1684,4,16.40599025785923
1684,5,16.40173301100731
3299,1,3.2085570958442986
3299,2,3.390949613414705
3299,3,3.474274231120944
3299,4,3.4941435735672712
3299,5,3.475573679432273
2767,1,10.297972548753023
2767,2,10.243539910763502
2767,3,10.196091521531343
2767,4,10.235055781900883
